id,source,website,building_type,building,address,vacancy_rate,household_size,Pct_Single_Family,Pct_Attached_SF,Pct_MF_2_to_4,Pct_MF_5_Plus,Pct_Emp_Office_Svc,Pct_Educ_Svc,Pct_Medical_Svc,Pct_Public_Admin,Pct_Retail_Svc,Pct_Restaurant,Pct_Accommodation,Pct_Arts_Entertainment,Pct_Other_Svc,Pct_Manufacturing,Pct_Transport_warehouse,Pct_Wholesale,Pct_Construction_Util,Pct_Agriculture,Pct_Extraction,Pct_Military,percent_of_building_type,lot_size_square_feet,floors,total_far,residential_efficiency,square_feet_per_du,retail_efficiency,retail_square_feet_per_employee,office_efficiency,office_square_feet_per_employee,industrial_efficiency,industrial_square_feet_per_employee,average_parking_space_square_feet,surface_parking_spaces,above_ground_structured_parking_spaces,below_ground_structured_parking_spaces,building_footprint_square_feet,surface_parking_square_feet,hardscape_other_square_feet,irrigated_softscape_square_feet,nonirrigated_softscape_square_feet,irrigated_percent,id
1,0,http://en.wikipedia.org/wiki/181_Fremont_Street,Skyscraper Mixed Use,Skyscraper Mixed Use (181 Fremont Street),"181 Fremont St. San Francisco, CA",0.06,1.61,0,0,0,0.33,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,26600,54,28,0.85,1900,0.85,475,0.85,250,0.85,1000,330,0,677,0,13792.59,0,9570,3237.407407,0,1,11
2,0,http://en.wikipedia.org/wiki/Encinal_Tower,Skyscraper Mixed Use,Skyscraper Mixed Use (Encinal Tower),"Oakland, CA",0.06,1.92,0,0,0,0.45,0.5,0,0,0,0.03,0,0,0,0.02,0,0,0,0,0,0,0,0.3,40000,56,37,0.85,2735,0.85,475,0.85,350,0.85,1000,330,0,1007,0,26428.57,0,8120.83,5450.598571,0,1,12
3,0,http://www.johnhancockcenterchicago.com/Index3.htm,Skyscraper Mixed Use,Skyscraper Mixed Use (John Hancock Center),"Chicago, IL",0.06,1.82,0,0,0,0.6,0.34,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0,0,0,0.4,79000,100,35,0.85,1950,0.85,550,0.85,250,0.85,1000,330,0,295,0,27650,0,26136,25214,0,1,13
6,0,http://thevisionaire.com/,High-Rise Mixed Use,High-Rise Mixed (Visionaire),"New York, NY",0.06,2.07,0,0,0,0.92,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,44000,35,9.6,0.72,1164,1,475,1,300,0.85,1000,330,0,136,0,12068.57,0,15930.51,16000.91857,0,1,26
9,0,http://en.wikipedia.org/wiki/LUMINA,High-Rise Mixed Use,High-Rise Mixed (201 Folsom),"201 Folsom St. San Francisco, CA",0.06,2.07,0,0,0,0.97,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0.17,43560,40,11.78,0.85,1016,0.85,475,0.85,250,0.85,1000,330,0,418,0,12828.42,0,13307.58,17424,0,1,29
10,0,http://www.atwaterplace.com/,High-Rise Mixed Use,High-Rise Mixed (Atwater Place),"Portland, OR",0.06,1.61,0,0,0,0.97,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0.28,80000,23,6.85,0.85,1310,0.85,475,0.85,250,0.85,1000,330,0,294,0,23826.09,0,23143.62,33030.29304,0,1,210
11,GGLO,,High-Rise Mixed Use,High-Rise Mixed (1),"601 4th Ave, Seattle WA",0.06,1.94,0,0,0,0.22,0.74,0,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0,0,0.5,57000,39,15.35,0.85,1020,0.85,550,0.85,250,0.85,1000,0,0,0,0,22434.62,0,18898.34,15667.04462,0,1,211
13,0,,Mid-Rise Mixed Use,Mid-Rise Mixed (2),"937 Glisan, Portland OR",0.06,1.84,0,0,0,0.93,0,0,0,0,0.03,0,0,0.03,0.01,0,0,0,0,0,0,0,0.2,1470,16,9.06,0.85,1268,0.85,475,0.85,300,0.85,1000,330,0,248,0,832.39,0,500,137.6125,0,1,313
14,0,,Mid-Rise Mixed Use,Mid-Rise Mixed (The Edge),"Portland, OR",0.06,1.84,0,0,0,0.57,0.31,0,0,0,0.04,0.01,0,0.06,0.01,0,0,0,0,0,0,0,0.4,51700,11,7.07,0.85,1100,0.85,550,0.85,300,0.85,1000,330,0,223,0,33229,0,15562.8,2908.2,0,1,314
15,0,,Mid-Rise Mixed Use,Mid-Rise Mixed (The Gregory Lofts),"Portland, OR",0.06,1.84,0,0,0,0.84,0.1,0,0,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0.4,40000,12,7.38,0.85,1450,0.85,475,0.85,300,0.85,1000,330,0,223,0,24600,0,14592.6,807.4,0,1,315
17,0,,Low-Rise Mixed Use,Low-Rise Mixed (Museum Place),"Portland, OR",0.06,1.85,0,0,0,0.7,0,0,0,0,0.12,0.02,0,0.15,0.01,0,0,0,0,0,0,0,0.36,40000,8,4,0.79,786,0.83,550,0.85,300,0.85,1000,330,0,239,0,20000,0,11979,8021,0,1,417
18,PK,,Low-Rise Mixed Use,Low-Rise Mixed (Gaia Building),"Berkeley, CA",0.06,1.61,0,0,0,0.87,0,0,0,0,0.05,0.02,0,0.03,0.03,0,0,0,0,0,0,0,0.02,13000,7,5.7,0.85,627,0.85,475,0.85,300,0.85,1000,330,0,139,0,10585.71,0,2000,414.2857143,0,1,418
19,0,,Low-Rise Mixed Use,Low-Rise Mixed (Fine Arts),"Berkeley, CA",0.06,2.25,0,0,0,0.9,0,0,0,0,0.04,0.01,0,0.04,0.01,0,0,0,0,0,0,0,0.02,22932,8,5,0.85,600,0.85,475,0.85,300,0.85,1000,330,0,108,0,14332.5,0,8000,599.5,0,1,419
20,0,,Low-Rise Mixed Use,Low-Rise Mixed (East End Gateway),"Sacramento, CA",0.06,2.25,0,0,0,0.93,0,0,0,0,0.03,0,0,0,0.03,0,0,0,0,0,0,0,0.02,24750,8,2,0.85,714,0.85,475,0.85,300,0.85,1000,330,50,,0,6187.5,16500,1000,1062.5,0,1,420
21,GGLO,,Low-Rise Mixed Use,Low-Rise Mixed (Site 17),"Seattle, WA",0.06,2.25,0,0,0,0.98,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0.02,27600,7,4.61,0.85,860,0.85,475,0.85,300,0.85,1000,330,0,198,0,18176.57,0,5000,4423.428571,0,1,421
22,GGLO,,Low-Rise Mixed Use,Low-Rise Mixed (Alcyone),"Seattle, WA",0.06,2.25,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,30000,7,4.14,0.85,784,0.85,475,0.85,300,0.85,1000,330,0,196,0,17742.86,0,10000,2257.142857,0,1,422
23,HM,http://www.newcalapartments.com/,Low-Rise Mixed Use,Low-Rise Mixed (New Californian),"1885 University Ave Berkeley, CA",0.06,2.25,0,0,0,0.9,0,0,0,0,0.04,0.01,0,0.02,0.03,0,0,0,0,0,0,0,0.02,24000,5,2.5,0.85,712,0.85,550,0.85,300,0.85,1000,330,0,154,0,12000,0,4356,7644,0,1,423
24,PK,,Low-Rise Mixed Use,Low-Rise Mixed (Touriel Bldg),"Berkeley, CA",0.06,2.25,0,0,0,0.94,0,0,0,0,0.03,0,0,0.01,0.02,0,0,0,0,0,0,0,0.02,6800,5,3.44,0.85,600,0.85,475,0.85,300,0.85,1000,330,0,46,0,4678.4,0,2000,121.6,0,1,424
