meta_class,btid,color_hex,building_type,urban_mixed_use,urban_residential,urban_commercial,city_mixed_use,city_residential,city_commercial,town_mixed_use,town_residential,town_commercial,village_mixed_use,village_residential,village_commercial,neighborhood_residential,neighborhood_low,office_focus,mixed_office_and_r_and_d,office_industrial,industrial_focus,low_density_employment_park,high_intensity_activity_center,mid_intensity_activity_center,low_intensity_retail_centered_neighborhood,retail_strip_mall_big_box,industrial_office_res_mixed_high,industrial_office_res_mixed_low,suburban_multifamily,suburban_mixed_residential,residential_subdivision,large_lot_residential_area,rural_residential,rural_ranchettes,rural_employment,campus_or_university,institutional,parks_and_open_space,blank
Mixed Use,1,#940000,Skyscraper Mixed Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixed Use,2,#940000,High-Rise Mixed Use,0.125911921,0,0.010872954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixed Use,3,#C20000,Mid-Rise Mixed Use,0.100729536,0,0.010872954,0.0765,0.0102,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixed Use,4,#E61414,Low-Rise Mixed Use,0.060437722,0,0.016309431,0.0714,0,0.0055,0.048,0,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixed Use,5,#FF6699,Parking Structure/Mixed Use,0,0,0,0.0255,0,0.0055,0.024,0,0.0165,0,0,0,0,0,0,0,0,0,0,0.034628497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixed Use,6,#FF5252,Main Street Commercial/MU High (3-5 Floors),0.025182384,0.025182384,0.027182384,0.051,0.0153,0.0385,0.0624,0,0.0275,0.02450999,0,0,0,0,0,0,0,0,0,0.277027973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixed Use,7,#FF5252,Main Street Commercial/MU Low (1-2 Floors),0,0,0,0,0,0,0.048,0.070538705,0.055,0.073529971,0,0.055019981,0.011559825,0,0,0,0,0,0,0,0.034628497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,8,#CC5500,Skyscraper Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,9,#CC5500,High-Rise Residential,0.075547152,0.226641457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,10,#E66A05,Urban Mid-Rise Residential,0.025182384,0.176276689,0,0.0765,0.2244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162569271,0,0,0,0,0,0,0,0,0.120838175,0,0,0
Residential,11,#FF901A,Urban Podium Multi-Family,0.015109431,0.050364768,0,0.051,0.1326,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077413938,0,0,0,0,0,0,0,0,0.06713232,0.011235254,0,0
Residential,12,#FF901A,Standard Podium Multi-Family,0,0,0,0,0.051,0,0.024,0.112861929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085155332,0,0.227313635,0,0,0,0,0,0,0.06713232,0,0,0
Residential,13,#FF901A,Suburban Multifamily Apt/Condo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034628497,0.034628497,0.013039207,0,0.069672545,0.076413938,0.259787011,0.119893506,0,0,0,0,0,0,0,0,0
Residential,14,#FFA733,Urban Townhome/Live-Work,0,0.020145907,0,0.051,0.0765,0,0.096,0.253939339,0,0.147059943,0.29814234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Residential,15,#FFA733,Standard Townhome,0,0,0,0,0,0,0,0.056430964,0,0,0,0,0,0,0,0,0,0,0,0.069256993,0.034628497,0,0,0.085155332,0.114620908,0.129893506,0.059946753,0,0,0,0,0,0,0,0,0
Residential,16,#FFA733,Garden Apartment,0,0,0,0,0,0,0,0.070538705,0,0,0,0,0,0,0,0,0,0,0,0,0.10388549,0.01955881,0,0,0.084055332,0.032473376,0.089920129,0,0,0,0,0,0,0,0,0
Residential,17,#FCFE6F,Very Small Lot 3000,0,0,0,0,0,0,0,0,0,0.049019981,0.189726944,0,0.393034039,0,0,0,0,0,0,0,0,0,0,0,0.038206969,0,0.029973376,0,0,0,0,0,0,0,0,0
Residential,18,#FCFE6F,Small Lot 4000,0,0,0,0,0,0,0,0,0,0.098039962,0.054207698,0,0.144497809,0.231196494,0,0,0,0,0,0,0,0.097794052,0,0,0.030565575,0,0.107904155,0.199313635,0,0,0,0,0,0.022470508,0,0
Residential,19,#FCFE6F,Medium Lot 5500,0,0,0,0,0,0,0,0,0,0,0,0,0.028899562,0.231196494,0,0,0,0,0,0,0,0.182548897,0,0,0,0,0.089920129,0.284733764,0,0,0,0,0,0,0,0
Residential,20,#FFFFCC,Large Lot 7500,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115598247,0,0,0,0,0,0,0,0.065196035,0,0,0,0,0.071936103,0.028473376,0.270251579,0,0,0,0,0,0,0
Residential,21,#FFFFCC,Estate Lot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028473376,0.202688684,0.042497891,0,0,0,0,0,0
Residential,22,#FFFFCC,Rural Residential,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182419816,0.382481018,0,0,0,0,0,0
