zone,du_detsf_ll_electricity,du_detsf_sl_electricity,du_attsf_electricity,du_mf_electricity,du_detsf_ll_gas,du_detsf_sl_gas,du_attsf_gas,du_mf_gas
1,7665,6245,3344,3573,1073,838,551,473
2,8783,6652,4145,3186,485,361,290,253
3,8161,5166,4612,3606,656,417,350,273
4,8735,6911,4807,3730,501,359,337,184
5,6576,5249,4189,3423,133,348,189,344
6,9742,5727,5578,4030,538,367,317,230
7,7705.14,6124.6,5006.78,3274.47,346.5,269.1,202.5,160.2
8,9287,6513,5148,4068,366,314,350,277
9,11343,6723,4873,3908,551,440,904,210
10,8619.54,7128.19,5738.86,3958.66,486.9,355.5,267.3,202.5
11,12297,7490,5787,3974,522,326,270,271
12,9742,7767,5762,4190,544,399,278,247
13,10406,8237,6198,5101,443,356,302,308
14,10345.9,8772.41,7334.72,5681.01,648,622.8,177.3,287.1
15,10320.51,8718.83,7334.72,5613.62,724.5,250.2,246.6,197.1
16,7361,5434,7653,4142,768,605,453,224
