RUCS_ID,RUCS_Type_Name,Quantity_acre,Price_unit,Cost_acre,Water_acre,Labor_acre,Truck_Trips_acre,seed_cost,chemical_cost,fertilizer_cost,custom_cost,contract_cost,irrigation_cost,labor_cost,equipment_cost,fuel_cost,other_cost,feed_cost,pasture_cost,land_rent,other_cashoverhead,total_cashoverhead,establishment_cost,land_mortgage,other_noncash,total_noncash
1,Alfalfa,6,200,975,21,6.19,0.24,0,45,135,36,0,100,96,39,40,0,0,0,0,91,91,114,190,89,393
2,Alfalfa - Organic,6,303.33,1281,42,2.54,0.24,0,97,45,374,0,89,34,15,9,0,0,0,0,103,103,173,288,55,516
3,Almond,1.1,4200,3677,40,23.29,0.03,0,294,371,375,757,123,333,76,84,0,0,0,0,358,358,279,349,278,906
4,Almond - Organic,0.8,5600,4377,44,36.96,0.03,0,339,280,816,0,205,429,95,161,0,0,0,0,355,355,439,916,341,1696
5,Apples,9,2020,18938,36,367.59,,0,605,19,0,3751,198,4316,327,243,0,0,0,0,2020,2020,971,4579,1908,7458
6,Asparagus,2,3724,6721,30,32.48,,0,125,76,2319,0,90,2725,128,212,0,0,0,0,238,238,347,369,91,807
7,Beans - Common Dried,1.13,960,1109,28,5.19,0.04,69,59,94,271,0,152,80,115,0,0,0,0,173,60,233,0,0,36,36
8,Beans - Black-Eyed & Lima,1.25,1000,1346,30,6.37,0.04,64,100,102,315,0,163,96,105,0,0,0,0,250,114,364,0,0,34,34
9,Beans - Chinese Long,6.6,1500,9657,38,611.2,,7,16,6,2523,0,95,5806,293,250,0,0,0,300,82,382,0,0,279,279
10,Blueberry,5,6000,30241,36,2138.02,,0,513,80,9830,0,1200,14884,239,194,227,0,0,0,917,917,1335,461,361,2157
11,Broccoli,6.69,715.65,6068,30,9.56,,234,771,0,3206,244,175,151,84,129,43,0,0,663,201,864,0,0,168,168
12,Cabbage,23.63,355.56,8212,12,9.34,,342,25,571,5167,0,170,133,138,249,0,0,0,933,403,1336,0,0,80,80
13,Celery,33.41,400,11995,26.4,18.76,,945,8,560,7656,0,374,251,182,258,0,0,0,1167,470,1637,0,0,124,124
14,Cherries,4.05,4109.28,14455,30,69.56,0.33,20,1075,68,190,9661,150,839,113,97,0,0,0,0,671,671,572,600,399,1571
15,Corn for Silage,1.6,900,1297,48,2.9,0.19,64,95,232,324,0,240,48,33,43,0,0,0,147,31,178,0,0,39,39
16,Cotton,0.81,2000,1806,30,11.53,,211,227,158,90,12,250,147,221,0,0,0,0,0,145,145,0,404,104,508
17,Daikon,13,8,3037,21,129.41,,116,0,117,815,0,53,1252,78,98,0,0,0,300,65,365,0,0,143,143
18,Eggplant,24.5,700,14113,39,798.78,,87,518,198,0,0,283,7893,802,768,2581,0,0,0,191,191,0,214,578,792
19,Figs,2,943.6,2611,24,40.93,,0,118,44,359,139,193,609,92,48,0,0,0,0,231,231,226,212,340,778
20,Grain for Silage,22,46,656,16,1.51,,56,54,158,26,0,133,19,21,23,0,0,0,125,26,151,0,0,16,16
21,Grapes - Red Wine,10,480,5437,18,68.05,,0,337,78,532,0,150,935,90,78,0,0,0,0,1112,1112,1164,633,329,2126
22,Grapes - White Wine,7,550,4886,16,89.48,,0,246,155,646,0,42,1123,97,120,0,0,0,0,649,649,1006,536,267,1809
23,Lemons,17.1,1066.67,12194,35.2,120.15,,0,429,76,9184,0,355,255,265,25,0,0,0,0,450,450,229,386,540,1155
24,Lettuce - Iceberg,16,600,8998,15,36.4,,177,534,487,5626,0,106,437,146,241,0,0,0,900,229,1129,0,0,115,115
25,Lettuce - Leaf,3.5,2400,8847,15,52.66,,306,578,474,4917,0,106,621,164,271,0,0,0,900,278,1178,0,0,232,232
26,Lettuce - Organic Leaf,9.38,1200,9110,17,51.89,,185,66,796,0,4948,142,735,361,253,0,0,0,1200,307,1507,0,0,118,118
27,Mandarins,13.37,2130,25344,2.4,786.09,0.46,0,271,397,1035,0,295,11455,436,539,0,0,0,0,2986,2986,1206,4250,2474,7930
28,Melons,25.5,2145.88,21852,20,758.38,,291,488,1168,0,0,140,10315,354,463,240,0,0,0,1850,1850,0,4750,1793,6543
29,Nectarines,15,960,14499,44,388.96,,0,603,126,52,6746,176,4578,239,259,0,0,0,0,308,308,757,425,231,1413
30,Oat Hay,2.5,150,392,0,0.92,0.24,33,8,67,113,0,0,13,15,17,0,0,0,75,40,115,0,0,11,11
31,Olives - Table,4,900,3260,36,27.6,0.33,0,277,74,41,703,228,331,69,74,0,0,0,0,439,439,342,326,356,1024
