"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.34716867296554,0.0092501316729163,361.850921837773,0
"mvpa_METS_log",-0.0118753751150011,0.000554260882629755,-21.4256056798686,8.50138194649037e-101
"gender2",-0.0577965452174575,0.00259115560239337,-22.3053162704982,5.47646947716025e-109
"age",0.00221749200593393,0.000119956883318022,18.4857420816365,1.023741794992e-75
"racehisp1",-0.0484664855743063,0.00373512418475275,-12.9758699247946,2.32808640839147e-38
"racehisp2",0.026965542303724,0.00666586971106906,4.04531493601595,5.24332198166955e-05
"racehisp4",-0.148725344020877,0.00458087337782906,-32.4665913580348,7.67886160022598e-226
"racehisp97",-0.0138306846908959,0.00823423534775926,-1.67965622875469,0.0930385881685495
"emply2",-0.0106610700779557,0.00279137235421171,-3.81929342456586,0.000134206202954533
"educa2",-0.0202643510414882,0.00514806391933086,-3.93630525164928,8.30032803861209e-05
"educa3",-0.0254153771624422,0.00515202952440232,-4.9330806514333,8.1540249412266e-07
"educa4",-0.0500030551058504,0.00531142275562738,-9.41424876279578,5.22444582498355e-21
"educa5",-0.0582170685350701,0.00570060989078317,-10.2124280823349,1.98077387244257e-24
"own2",0.00956141611612091,0.00300207672067838,3.18493396596484,0.00144991306177726
"child_any1",0.00661502479508301,0.00283682431138947,2.33184154849653,0.0197181127056383
"disabled1",0.0136161625818076,0.00414117090396479,3.28799822503615,0.0010106259270219
"disabled2",0.0571050810444492,0.0038519905681608,14.8248236941336,1.76662476317946e-49
"walk_index_chis_adult_bmi",-0.002871805160645,0.00035544637486817,-8.07943297131701,6.8431246982928e-16
"majrd_index",0.00165076644593691,0.000712035396872149,2.31837694191671,0.0204380725218076
"school_distance",-0.00140305857034932,0.000576481664527212,-2.43383034827309,0.0149479932488938
"park_access",-0.00246060291649347,0.000753458479198959,-3.26574454256519,0.00109345640903651
