"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-5.83947730285986,0.384824389934641,-15.1743950113236,5.2257343418719e-52
"mvpa_METS_log",-0.111568462540356,0.00802504347575076,-13.9025368370255,6.1135499043156e-44
"BMI_log",1.39898091642556,0.10338968678256,13.5311457067065,1.02414915822129e-41
"gender2",-0.0684938977625564,0.0429668310397056,-1.59411099457768,0.110911176808461
"age",0.0200585619164195,0.00205349653554135,9.768003777582,1.54465471623455e-22
"racehisp1",-0.562251034050552,0.0610414924788224,-9.21096472609378,3.23206853174534e-20
"racehisp2",-0.251142808607634,0.101043711175153,-2.48548678276766,0.012937439132672
"racehisp4",0.807072228432305,0.0682838144925132,11.8193782000974,3.09970263646307e-32
"racehisp97",-0.223770217056246,0.13066147721533,-1.71259518739002,0.0867870392949587
"emply2",0.403223067925101,0.0439700605133058,9.17040056842955,4.71264566732127e-20
"educa2",-0.556150328604079,0.0675477517679661,-8.23343951571499,1.81913248446928e-16
"educa3",-0.858809708832466,0.0710110072663099,-12.0940364303199,1.13566896992271e-33
"educa4",-1.10541860884571,0.0799538467410932,-13.8257088795901,1.78346846509446e-43
"educa5",-1.17884351353979,0.0962110003834882,-12.2526894933119,1.62515453721027e-34
"own2",0.289603042742815,0.0488972884096031,5.92268103533405,3.16734816579308e-09
"hhsize",0.046061051986776,0.0183015257833639,2.51678753629632,0.0118430221313852
"incom2",-0.128025948891981,0.0833133369246795,-1.53668012370846,0.124371660808248
"incom3",-0.524997255095423,0.0974249422879698,-5.38873560267175,7.09551010097902e-08
"incom4",-0.744081693872875,0.0973301206003915,-7.64492727721826,2.09063453377711e-14
"incom5",-0.851650968973078,0.108963877384017,-7.81590183296834,5.45708933468728e-15
"incom6",-1.06811204295296,0.109317997131648,-9.77068800178127,1.50427041055276e-22
"incom7",-1.24608331220105,0.119417959657951,-10.4346391093116,1.7226709565847e-25
"child_any1",-0.0687655329589448,0.0593550080356125,-1.15854643499814,0.246641113599988
"disabled1",1.0093373438227,0.0580415192132857,17.3899194491047,9.83723992239879e-68
"disabled2",1.69403187404578,0.0529601852333249,31.9868948075321,1.65905555236456e-224
"walk_index",0.00829927679853029,0.00666022392833899,1.24609576011659,0.212729241223491
"transit_access",0.0115102912418318,0.00940909284657948,1.22331572549167,0.221210469895126
"rail_any",-0.140921007669282,0.0739901589550181,-1.90459122753005,0.0568332278057611
"majrd_index",0.0136342139178445,0.0112400195766732,1.21300624299089,0.225127433650482
"park_access",-0.0326525010638797,0.0127187798423745,-2.56726678726626,0.0102503714219223
