"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-8.1391547150291,0.627343761019867,-12.9739948346619,1.71835783778843e-38
"mvpa_METS_log",-0.0374343458089321,0.012854493119647,-2.91216039874158,0.00358938267027247
"BMI_log",0.671329523755752,0.16574116924119,4.0504693361902,5.11150078042307e-05
"gender2",-0.536625743399792,0.0668876741369943,-8.02278970413467,1.03370234514765e-15
"age",0.0645153814436968,0.00400382045781278,16.1134551670033,2.05228877553513e-58
"racehisp1",0.296642862827208,0.1055390915557,2.81073921003622,0.00494278313599052
"racehisp2",0.203812551358188,0.170437008832281,1.1958233294199,0.231765509867453
"racehisp4",0.122733277469535,0.138093957201112,0.888766459858875,0.37412860492715
"racehisp97",0.80799448615053,0.17980167970863,4.49380944304798,6.99602370500089e-06
"emply2",0.267943709550766,0.0726929973099289,3.68596315279696,0.000227839317073027
"educa2",-0.437450305784046,0.126746056480922,-3.45139184547246,0.000557703228535348
"educa3",-0.401094886688644,0.124202096989892,-3.22937290439861,0.00124062011064939
"educa4",-0.515798201056766,0.135181100715515,-3.81560882643092,0.000135847567208664
"educa5",-0.423051092477257,0.146594027700979,-2.88586853852049,0.00390335162828756
"incom2",-0.028315334021456,0.143081938120437,-0.197895935667449,0.843126484161592
"incom3",-0.426622983296455,0.172777649200712,-2.46920238393136,0.0135414608287445
"incom4",-0.300479538700338,0.161753858040492,-1.85763444742763,0.0632209432532596
"incom5",-0.269527044114367,0.172093606675201,-1.56616535222634,0.117309911757076
"incom6",-0.139294530104433,0.165618720657767,-0.841055464933038,0.40031686276611
"incom7",-0.18654395986919,0.17107805905169,-1.09040259693867,0.275535838406475
"disabled1",0.636433968669341,0.0993428504510159,6.40643957546955,1.48957103958358e-10
"disabled2",1.04764389576954,0.0803459954013313,13.0391551008425,7.3264423305135e-39
"park_access",-0.0247786399900934,0.0184548814604619,-1.34266047946066,0.179381937134251
