"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.273013858029725,0.0570453025030881,4.78591305594261,1.70211734309564e-06
"walk_tr_any",0.35169267255122,0.0276056835453259,12.7398646722069,3.55010078896598e-37
"gender2",-0.139098118371912,0.0274794682217848,-5.06189265560967,4.15114742383608e-07
"racehisp1",-0.0604774785736618,0.0387914609608139,-1.55904101252475,0.11898667348764
"racehisp2",-0.243539543660533,0.0688777867680616,-3.53582127254793,0.000406509617306218
"racehisp4",-0.298155412921829,0.0477935293502691,-6.23840542799651,4.42053741849937e-10
"racehisp97",0.0716447520749221,0.0858126677819124,0.834897153611432,0.403775617542884
"emply2",0.10553010833509,0.0295419516218902,3.57221180529229,0.000353978933715676
"educa2",0.183315422886677,0.0526235887588766,3.48352188077928,0.000494862667909893
"educa3",0.288213066064992,0.053160062628649,5.42160885095851,5.90650131897306e-08
"educa4",0.3675395258371,0.0549420614662679,6.68958382755175,2.23806153953637e-11
"educa5",0.352881400565042,0.0592983515724549,5.95094789665218,2.66593951569019e-09
"own2",-0.362723659514938,0.0304471054088566,-11.9132395229081,1.00976472103196e-32
"child_any1",-0.152074181630696,0.02830954140091,-5.37183486927867,7.79394668554002e-08
"disabled1",-0.0594213673612084,0.0433846379605349,-1.36964073355323,0.170799077640764
"disabled2",-0.495442868540998,0.0394808767114096,-12.5489327950466,4.02903473004459e-36
"walk_index_chis_adult_modPA_any",-0.0229200096897619,0.00293896210158427,-7.79867480339628,6.25606498590211e-15
