"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.83413344129164,0.0724013194452971,66.768582096685,0
"walk_tr_any",0.0448871646742329,0.0170419566227902,2.63392083830359,0.00845016375666171
"gender2",-0.15353762944546,0.0170100019629785,-9.02631462239848,2.01331111677283e-19
"age",-0.00124395709734179,0.000788141635072706,-1.57834206693958,0.114510526584058
"racehisp1",0.0531796176664465,0.0251070896568281,2.11811159291351,0.0341838793199983
"racehisp2",-0.0140902277686429,0.0456204030617044,-0.308858028930279,0.757434301181354
"racehisp4",-0.078535719571171,0.0311764813309501,-2.51906938238106,0.0117780252562272
"racehisp97",0.151534983453882,0.0521220704108719,2.90730936548281,0.00365147130036967
"emply2",0.118626316190037,0.0183938607294735,6.44923422737218,1.16254008457963e-10
"educa2",0.166989476382523,0.0356404096335553,4.68539722465207,2.82150841743339e-06
"educa3",0.157770141189077,0.0359370141187387,4.3901850239364,1.14117042774961e-05
"educa4",0.136421685935497,0.0375532923082516,3.63274902279397,0.000281459514936317
"educa5",0.0804503349614266,0.040485704589111,1.98712942698951,0.046928275223949
"own2",-0.0321912344042967,0.0213313504834906,-1.50910437804729,0.131295563581595
"hhsize",-0.0204057375287453,0.00807101542686761,-2.52827388494596,0.0114738165392376
"incom2",-0.0448841838618271,0.0447940642582007,-1.00201186485573,0.316355860579486
"incom3",-0.106068128815991,0.0493447092178036,-2.14953397228089,0.0316098502387585
"incom4",-0.0505671908280375,0.0477813296798528,-1.05830438723348,0.289935669815924
"incom5",-0.0532293895763001,0.0500154317026339,-1.06425932485747,0.287230314785918
"incom6",-0.0163678932136667,0.0489782607813771,-0.334186901546538,0.738243729715166
"incom7",0.0374166196011068,0.0499509170507108,0.749067721081496,0.453829468474165
"child_any1",-0.114242806801726,0.0235038005904026,-4.86060994103121,1.18343726904203e-06
"disabled1",-0.0311913051849126,0.02729532555376,-1.14273431630186,0.25316922627637
"disabled2",-0.0503925395354907,0.0269791586144772,-1.86783213871057,0.0618071678374099
"walk_index_chis_adult_modPA_min",-0.00994936618878415,0.00179766971394768,-5.53459076024336,3.17783293997734e-08
"majrd_index",0.00597957609412231,0.00474425398315477,1.26038279471414,0.207553136640915
"regional_access",-0.00894843148345564,0.0047744573080116,-1.87423007604237,0.0609203460415355
"park_access",-0.00563460717715848,0.00483731317985918,-1.16482166187191,0.244111815221781
