"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.63150066779323,0.142531416123018,11.4466039289548,2.44539306507419e-30
"walk_tr_any",0.57029635301046,0.0377018399994064,15.126485949212,1.08327502828657e-51
"gender2",-0.112041557004902,0.0369920714664082,-3.02879921462752,0.00245527805078699
"age",-0.00671825319914237,0.00168723065756335,-3.98182262100707,6.83888113609457e-05
"racehisp1",-0.0119220963363074,0.0532134364168481,-0.224042969954345,0.822723867775389
"racehisp2",-0.403016563566736,0.083700527063391,-4.81498238668807,1.47212874186807e-06
"racehisp4",-0.336570049242728,0.061487874197677,-5.47376297578106,4.40578269409725e-08
"racehisp97",0.0216057076335257,0.113826493283541,0.189812643878135,0.849455947637276
"emply2",0.183255748342484,0.0397185370128573,4.61385947531657,3.95259715282804e-06
"educa2",0.167626110770808,0.0635900953807786,2.63604119111726,0.00838795485867675
"educa3",0.318706155688844,0.0655937792027584,4.85878629898248,1.18107528482402e-06
"educa4",0.569929118119139,0.0719522997537172,7.92092983921192,2.35740940440995e-15
"educa5",0.680361374720523,0.0827900099227631,8.2179163326016,2.07069342856896e-16
"own2",-0.254878015690915,0.0430840738527217,-5.91582905001482,3.30208040244787e-09
"hhsize",-0.0544675096757199,0.0128542756524272,-4.23730680347087,2.26216925707687e-05
"incom2",-0.0154707137351809,0.0790905073824835,-0.195607718893042,0.84491721819434
"incom3",0.0565476697134625,0.0906820593764521,0.623581666564429,0.532902353849601
"incom4",0.123304631001728,0.0891063536306968,1.38379168238403,0.166422250625447
"incom5",0.180786070235471,0.0968362655102955,1.86692526072528,0.0619120257121547
"incom6",0.350761758200911,0.0961770998374371,3.64704029123133,0.000265278340022908
"incom7",0.506197958539554,0.101846836317774,4.97018834203312,6.68878959033968e-07
"disabled1",-0.0770437490185656,0.0575127906783513,-1.33959329933134,0.180377603460347
"disabled2",-0.7145695921825,0.0481578888710071,-14.8380589127672,8.31266443776509e-50
"walk_index",-0.0230224794564893,0.00547472031497977,-4.20523389907168,2.60812288559555e-05
"rail_any",-0.0685904627732993,0.0636872388558637,-1.07698911124931,0.281485130271742
"majrd_index",-0.0195517711502963,0.00980585598156569,-1.99388724319959,0.0461643783671304
"regional_access",0.0201988393773041,0.0101941891403441,1.98140716237705,0.0475456311958122
"park_access",0.0250694533743099,0.0108564486607259,2.3091762470172,0.0209338030839861
