"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",5.34452289523072,0.0646656877279272,82.6485124184736,0
"walk_tr_any",0.133604462614835,0.0149940910014101,8.91047430632979,5.51838436639885e-19
"gender2",-0.133496651840421,0.0149848155388126,-8.90879513962966,5.60225146749079e-19
"age",-0.00283924829089693,0.000691928846396765,-4.10338188049592,4.08806261302993e-05
"racehisp1",0.010630677091421,0.0220518074514142,0.48207735873094,0.629756394829286
"racehisp2",-0.0492370148326494,0.0396156876381533,-1.24286659573795,0.213931916658601
"racehisp4",-0.200627914537831,0.0267612170159787,-7.49696526948079,6.80988994308925e-14
"racehisp97",0.0622795792375178,0.0466573120287171,1.33482998761663,0.181947554906135
"emply2",0.156442897495817,0.0162732804500561,9.61348254127075,7.83952138466198e-22
"educa2",0.0979624666634959,0.0309383052444425,3.16638115402566,0.00154585645069901
"educa3",0.14137531405145,0.0312639763302127,4.52198762429425,6.16218278532743e-06
"educa4",0.160211286053836,0.0326196237120924,4.91150012850835,9.11127069386518e-07
"educa5",0.15077951225903,0.0351347657371567,4.29146200623655,1.78354787357551e-05
"own2",-0.103053685300492,0.0185266022901255,-5.56247085605216,2.69467717183041e-08
"hhsize",-0.0222927045368118,0.00703567893490358,-3.1685221487608,0.00153452162888603
"incom2",0.0214462764201198,0.0381900576237046,0.561567008655363,0.574417506679084
"incom3",0.0109834057043376,0.0425550751138699,0.258098609271582,0.796333524177909
"incom4",0.0363913869423201,0.0411457074104931,0.884451604617192,0.376463363238596
"incom5",0.0503467001089681,0.0432721985800423,1.16348837732014,0.244645624122085
"incom6",0.107710995508235,0.0422943824855634,2.54669743777441,0.0108823717357306
"incom7",0.200474399017258,0.0431480125052187,4.64620239444426,3.40307240112363e-06
"child_any1",-0.141024194610518,0.0206123674961202,-6.84172716390113,8.05613053899644e-12
"disabled1",-0.0759256007538937,0.0239583523420973,-3.1690660388396,0.00153165439365437
"disabled2",-0.253575420416225,0.0234260492529603,-10.8245064149766,3.1483071047727e-27
"walk_index",-0.0125284205618416,0.00215954032790603,-5.80142931342692,6.67679400878671e-09
"transit_access",0.00554600709994596,0.00329688418703292,1.68219651808187,0.0925467237459109
"rail_any",-0.0375563463747292,0.0279357347298091,-1.34438369844106,0.178839955446017
"school_distance",-0.00357026089160651,0.00325680013334418,-1.09624807953457,0.272983740104794
