"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.591219063316335,0.126844792499427,4.660964409075,3.1473114998461e-06
"walk_tr_any",0.252863221862156,0.0299565050249045,8.44101211579713,3.14601533127185e-17
"gender2",-0.555413899675396,0.0297642004695454,-18.6604676394279,1.03818689084349e-77
"age",-0.0331093578379386,0.00138040709145085,-23.9852127991748,3.96747819316676e-127
"racehisp1",-0.0219517118640437,0.0441122313137557,-0.497633223490973,0.618742582243894
"racehisp2",-0.0267249709068822,0.0778331263850945,-0.343362423534874,0.731325824724494
"racehisp4",-0.477117238435093,0.0549437890549891,-8.68373380579163,3.82984495885962e-18
"racehisp97",-0.0124157175359444,0.0936778266916814,-0.132536353312378,0.894560070849243
"emply2",0.0399866423023489,0.0329665178647872,1.21294710185513,0.225150045614837
"educa2",0.257938927482147,0.0653993434820093,3.94405989034284,8.01136364598757e-05
"educa3",0.446720780976858,0.0660285061366087,6.76557455430873,1.32781197732599e-11
"educa4",0.71310362629885,0.0682731124612783,10.4448676878953,1.54670917966264e-25
"educa5",0.804398255416996,0.0728587931090068,11.0405102952159,2.43645495887931e-28
"own2",-0.134981357801187,0.0371368980810224,-3.63469661646741,0.000278307943384917
"hhsize",-0.022165515568837,0.0140035629727727,-1.58284828025079,0.113456049362999
"incom2",-0.0684449308437694,0.0796594942360793,-0.859218747245942,0.390219842195191
"incom3",0.137696302244374,0.0873052771197153,1.57718189308948,0.114753678089079
"incom4",0.10277383689208,0.0845655029392149,1.21531633254701,0.224245465003196
"incom5",0.168518519969228,0.0883859670077519,1.9066207642945,0.0565697142414092
"incom6",0.329809457497413,0.0862826049012376,3.82243278207613,0.00013214150600243
"incom7",0.523765318415689,0.0877363429051783,5.96976465022884,2.37596067764717e-09
"child_any1",-0.117843739687889,0.0409629457460343,-2.87683753064311,0.00401682350928462
"disabled1",-0.11732044843812,0.048274391419697,-2.43028332388776,0.0150870239464071
"disabled2",-0.745354050426666,0.0519902899811883,-14.3364087928026,1.29589868080788e-46
"walk_index",-0.0112086199564902,0.00382795485646629,-2.92809617061086,0.00341044538978644
"rail_any",-0.080266886190091,0.0557733639386905,-1.43916164494445,0.150104729622481
"park_access",0.0281175513904773,0.0086155893492419,3.26356680323342,0.00110019243739551
