"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",5.13993022924055,0.0931856326885803,55.1579688943877,0
"walk_tr_any",-0.0168245368353015,0.0216939934482316,-0.775538947010834,0.438045471131517
"gender2",-0.172000180870911,0.0215973903182855,-7.96393352789883,1.90964605821764e-15
"age",-0.00356795115324253,0.00096299498748998,-3.70505682749429,0.000212848479625549
"racehisp1",-0.0142640456152242,0.0318207703731763,-0.448262108300441,0.653976864309493
"racehisp2",0.104723650469344,0.0570608645116942,1.83529729816627,0.0665008349200654
"racehisp4",-0.10396856260277,0.0404686022185468,-2.56911672019946,0.0102147792862652
"racehisp97",0.106008502250564,0.0668774912386838,1.58511481646677,0.112981992010922
"emply2",0.0756146080901552,0.0239491360317661,3.15730003745689,0.00159862299713211
"educa2",0.104373852196108,0.0504871544745622,2.06733481580343,0.0387365013912161
"educa3",0.0674159967125464,0.0509924718673586,1.32207744091929,0.186182284835153
"educa4",0.0270779749073523,0.052064087674433,0.520089299877417,0.603016534398177
"educa5",0.0182024399778685,0.0549321436138229,0.33136227316802,0.740380024637721
"own2",-0.0500568312225063,0.026880210086075,-1.86221874986155,0.0626109529324438
"hhsize",-0.0170801272600745,0.0102548475391762,-1.66556618173248,0.0958412019527827
"incom2",-0.128438759952457,0.0607234009003471,-2.11514437676568,0.0344502046413757
"incom3",-0.112122053122254,0.0655322357097949,-1.71094503198058,0.0871322023769279
"incom4",-0.0735880634500754,0.0633706576041778,-1.16123244151445,0.245583975717532
"incom5",-0.0938924870858525,0.0658892320144955,-1.42500503064289,0.154196945961119
"incom6",-0.0437719440050922,0.0639106429890898,-0.684892874768363,0.493432477920871
"incom7",0.00712727866635078,0.0646690071209202,0.110211660634034,0.912244434364233
"child_any1",-0.0856782677092265,0.0293801017286458,-2.91620051218848,0.00355362359248423
"disabled1",-0.103765425558528,0.0358237300071202,-2.89655559423612,0.00378363946086962
"disabled2",-0.112123205707903,0.0420457250169106,-2.66669692728113,0.00767634825972282
"majrd_index",-0.0118157153516535,0.00587016777337394,-2.01284116703572,0.0441666582437524
"regional_access",0.00904363015826648,0.00561831228833029,1.60967025223053,0.107511531231695
