"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.27433603936236,0.11354936394647,-2.41600683462823,0.0156917668025046
"walk_tr_any",0.456883398419304,0.0283814228162005,16.0979737125268,2.63596542095579e-58
"gender2",0.279516220332469,0.0280761224937011,9.95565610583084,2.3824611946655e-23
"age",0.00159057858347499,0.00128489907077956,1.23790157503185,0.215752558265286
"racehisp1",0.0459260145714968,0.0411709924736096,1.11549447346782,0.26463858539673
"racehisp2",-0.252956078418352,0.0700401282500867,-3.61158788166609,0.000304327919053005
"racehisp4",-0.308873104876638,0.0488969927908476,-6.31681187834627,2.67014286321271e-10
"racehisp97",-0.1783889993712,0.0859975931796851,-2.07434874367322,0.0380469339279415
"emply2",0.191539565640477,0.0307212099540445,6.2347663365798,4.52452929582346e-10
"educa2",0.118096056282853,0.0539302881032784,2.18979094005015,0.0285394021015975
"educa3",0.244269100695074,0.0549455869332674,4.4456545889981,8.76246427410822e-06
"educa4",0.381292326222182,0.0583029120701128,6.53985045830396,6.15803765169287e-11
"educa5",0.471157221643099,0.0642401882665281,7.33430636423886,2.22872742734154e-13
"own2",-0.078608267906011,0.0339342670960722,-2.31648639068765,0.0205317266587997
"hhsize",-0.0177356220221158,0.0101627464028052,-1.74516034535904,0.0809569617214351
"incom2",0.0949749049223907,0.0666981505108665,1.4239511020162,0.154460627404806
"incom3",0.0362782514086634,0.0750093069653764,0.483650001264631,0.628634282664195
"incom4",0.179391950416114,0.0730610629932191,2.45537011188522,0.0140739603082864
"incom5",0.26755747429601,0.0778351261634911,3.43749008299943,0.000587132218975573
"incom6",0.31113240997574,0.0762160912913037,4.0822404390507,4.4603615396888e-05
"incom7",0.418436045181263,0.0787074445661331,5.31634647126266,1.0587147145425e-07
"disabled1",-0.134466890188661,0.0442569893423211,-3.03831987188689,0.00237901282789357
"disabled2",-0.530934491623941,0.0408206661579622,-13.0065121810948,1.12354192585801e-38
"walk_index",-0.00770138644972635,0.00405872065515099,-1.89749113183052,0.0577631481175313
"rail_any",-0.0519415279749226,0.0510208377171268,-1.01804537712415,0.308656391938873
"majrd_index",-0.00861313145185435,0.00770901592632465,-1.11728027729743,0.263874505613756
"regional_access",0.0155022066421221,0.00785399931926307,1.97379780821991,0.0484047381761975
"park_access",0.0164527135732127,0.00817876535691442,2.01163780292381,0.0442581314119763
