"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.06630189880892,0.0590663549945749,68.842946194706,0
"walk_tr_any",0.0954357508179898,0.0152349646302522,6.2642581150784,3.85137512842163e-10
"gender2",0.126390392855938,0.0155003985024953,8.15400925567117,3.80595277743712e-16
"age",0.00765438771079537,0.000689904132293141,11.094857027966,1.7283777999041e-28
"racehisp1",-0.0331343152089085,0.0216594051897254,-1.52978878776534,0.126090746521765
"racehisp2",-0.0841730436235132,0.0404927083970568,-2.07872100819098,0.0376604717372291
"racehisp4",-0.0879298633317288,0.0271971655455126,-3.23305247322866,0.00122747867331207
"racehisp97",0.0191814469671849,0.0490320702504498,0.391202061614132,0.695653610097718
"emply2",0.128284038804686,0.0165072447088733,7.77137802626311,8.28113582533985e-15
"hhsize",-0.0256369206812004,0.00716722846607113,-3.57696434578062,0.000348735185029332
"incom2",0.0693553611587813,0.0401134034895767,1.72898221355869,0.0838334800381321
"incom3",0.048060085277597,0.0443238702973597,1.084293518485,0.278252635701218
"incom4",0.069840004207579,0.0420749527851621,1.65989501079627,0.0969571145710958
"incom5",0.0670391334327473,0.0436686185951799,1.5351787070303,0.124761670013316
"incom6",0.0877985671969901,0.0423443861646619,2.07344054665413,0.0381488446903615
"incom7",0.185234507653828,0.0425081510566642,4.35762325693504,1.32383149915369e-05
"child_any1",-0.0616441472219247,0.0211001206895781,-2.92150685433625,0.00348877815474625
"disabled1",-0.022240241420591,0.024839254560631,-0.895366701376001,0.370605899420547
"disabled2",-0.188739169091863,0.024347110348335,-7.75201518338581,9.64130970823649e-15
"majrd_index",0.00472342673404783,0.00409881857686716,1.15238736369202,0.249180855107452
"school_distance",-0.00695055254504778,0.00329491098947537,-2.109481126273,0.0349200993602272
