"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.913173828817178,0.100181603567068,9.11518478745293,7.85365198341703e-20
"gender2",-0.208420979091384,0.0273774682835303,-7.6128653289963,2.68085086262957e-14
"age",-0.00869959201002802,0.00117707994180303,-7.39082512671326,1.45920427840483e-13
"racehisp1",-0.183300892087816,0.0394667062740721,-4.64444361824631,3.40994153254555e-06
"racehisp2",-0.147842546710845,0.069410650860186,-2.12996917445198,0.0331741583790546
"racehisp4",-0.296863038989095,0.0482318055091226,-6.1549227912056,7.51140801780319e-10
"racehisp97",-0.128466019895607,0.084986880203264,-1.51159825597026,0.130636095640669
"emply2",0.0911299551042024,0.0298305509035452,3.05492028621476,0.00225120347547814
"educa2",-0.119371816145923,0.0540897675905424,-2.20692048539685,0.0273196149764524
"educa3",-0.0948650057314739,0.0546489194830009,-1.73589901921085,0.0825816912593249
"educa4",-0.0644657471934173,0.0574887064494146,-1.12136367601421,0.26213309124299
"educa5",0.0703875184555435,0.0624657338369633,1.12681808300301,0.259819403389012
"own2",0.231531368133723,0.0331775367377757,6.97855811188365,2.98224860250603e-12
"incom2",-0.0851754649807312,0.0676506923297996,-1.25904794241421,0.208013015739995
"incom3",-0.373916926000675,0.0757160787982143,-4.93840848516701,7.87627249282546e-07
"incom4",-0.365130816528622,0.0733997307071238,-4.97455253596978,6.53985268807443e-07
"incom5",-0.251143981893013,0.0775519256275941,-3.23839775557619,0.00120203097127094
"incom6",-0.289288584924441,0.0757823118247151,-3.81736289061182,0.000134885702048504
"incom7",-0.202202930892809,0.0775909126929316,-2.60601304811342,0.00916029719845381
"disabled1",-0.00240260109235863,0.0436718437921893,-0.0550148764909334,0.956126612016153
"disabled2",-0.338628063299149,0.0412026702283445,-8.21859509159184,2.0590094473706e-16
"walk_index",0.0373855212081966,0.00440034183000333,8.49604931900673,1.96152679546702e-17
"transit_access",0.0248913838927099,0.00609879417286234,4.08136152609781,4.47726495295312e-05
"rail_any",0.219557320232131,0.0515092205234132,4.26248578411962,2.02165363457863e-05
"majrd_index",-0.0275194561235824,0.00758353057265259,-3.62884488431048,0.000284692229261444
"regional_access",0.0496032473870456,0.00815562988757481,6.08208661634054,1.18628448812756e-09
"school_distance",-0.0235942091184949,0.00637980715775836,-3.69826368337833,0.000217079320776609
"park_access",0.0187295498946588,0.00814321760591197,2.3000183466866,0.0214471806507143
