"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.36002343431476,0.0571658165893167,76.2697656474932,0
"gender2",-0.0658932301271841,0.0182781776430454,-3.60502186892004,0.000313466127885718
"age",0.00514005918401309,0.000747937793896594,6.87230840045467,6.64847622784734e-12
"racehisp1",-0.145068612820716,0.0262292437603058,-5.53079662328108,3.25848799451322e-08
"racehisp2",-0.172188131232282,0.0448166594958077,-3.84205635068336,0.000122673200791576
"racehisp4",0.0254953612499792,0.0316602651270664,0.805279461421286,0.420675323944909
"racehisp97",-0.125554310305444,0.0569861898878832,-2.20324100545175,0.0275978104262885
"emply2",0.0750936833297585,0.0199165913212585,3.77040840565952,0.000163808501867941
"educa2",-0.0617274118661859,0.0342622988327146,-1.80161325915606,0.0716328383400449
"educa3",-0.133186319665602,0.0351108046511326,-3.79331436544862,0.000149422306034382
"educa4",-0.226306227580594,0.0371954412168529,-6.08424635323472,1.20818947460567e-09
"educa5",-0.240321732933704,0.0405519479818891,-5.92626852453633,3.18912191646549e-09
"incom2",-0.00171347577222252,0.0410779900367974,-0.0417127461856728,0.966728427566301
"incom3",-0.102499306628494,0.0477786770020526,-2.14529394826254,0.0319505361041292
"incom4",-0.0856064400092404,0.0459949168084826,-1.86121523745103,0.0627396583624354
"incom5",-0.13971447553258,0.0485492074385901,-2.8777910681509,0.00401218516599464
"incom6",-0.184892986181002,0.0469891438560115,-3.93480219064149,8.37622220481373e-05
"incom7",-0.14569378390394,0.0478002699198359,-3.04796989950638,0.00230923736374642
"disabled1",0.0505475270246514,0.0285039217124942,1.77335341903127,0.0761970106800712
"disabled2",-0.0948737471002446,0.0286646864744878,-3.30977794523182,0.000936613997710352
"walk_index",0.00485327733640765,0.00224797589215245,2.15895435237991,0.0308746271551851
"rail_any",0.0318475950838854,0.0300931068719134,1.05830199651501,0.289940337227814
"school_distance",-0.0122402155911558,0.00384778307720712,-3.18110853588976,0.00147108095609561
