"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.30780217982579,0.023053404132394,143.484327122768,0
"mvpa_METS_log",-0.0127847687879354,0.00094516783972317,-13.5264534515689,3.3365540765711e-41
"gender2",-0.0898908467488191,0.00387643034010189,-23.1890783174647,6.37990424340595e-115
"age",0.00230891098870716,0.00019909178853601,11.5972185778498,7.82387612151491e-31
"racehisp1",-0.0347681460661446,0.00707609355871415,-4.91346613461999,9.13888426234382e-07
"racehisp2",0.0558435772105264,0.01302368443619,4.28784784245458,1.82687809770195e-05
"racehisp4",-0.118680951295523,0.00843097724720973,-14.0767728124045,1.95096939724316e-44
"racehisp97",-0.00721163097956344,0.0137037989298293,-0.526250495683044,0.598729836982697
"emply2",-0.0179762135161699,0.00463958110647875,-3.87453373561413,0.0001077448461117
"educa2",0.00954047475629734,0.0191213356322019,0.498943951395864,0.617833599559162
"educa3",0.00709202694953996,0.018669704293681,0.379868199194796,0.704054081053769
"educa4",-0.0142482198611543,0.0184568789730121,-0.771973413380901,0.440154657336629
"educa5",-0.0270386932957382,0.0185512811712068,-1.4575108342223,0.145017566191852
"hhsize",0.0034500143777602,0.00163263780620666,2.11315355104762,0.034620787253911
"incom7",-0.00936297083893285,0.0038847619687514,-2.41017877395,0.0159687772225566
"disabled1",0.023223016488969,0.00743990731940329,3.12141206764812,0.0018067449055898
"disabled2",0.0562513562662904,0.00700033457628991,8.03552396721343,1.07544152453487e-15
"walk_index_chis_adult_bmi",-0.00252686157093043,0.000586742328492519,-4.3065949876542,1.679127526933e-05
"rail_any",0.0112181905450378,0.00878300475497292,1.27726112623201,0.201549871103775
"majrd_index",0.00365345208651833,0.00117715215643204,3.10363623475148,0.00191874253014499
"park_access",-0.00477506205228405,0.00106257022331806,-4.49387903735253,7.09935335620723e-06
