"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-21.3295208386428,1.47923629892456,-14.4192789577635,3.91410196670011e-47
"mvpa_METS_log",-0.0337628177529778,0.0275008743744709,-1.22769979213169,0.219559684509288
"BMI_log",4.29622501387278,0.351857925141175,12.2101129657632,2.74507768285313e-34
"gender2",-0.587277979394015,0.135040700218677,-4.3488961360761,1.36824489634742e-05
"age",0.0960250996333068,0.00961884974087599,9.98301275309887,1.80889299445807e-23
"racehisp1",-0.490117531112384,0.223763969235804,-2.19033266520177,0.0285001194841618
"racehisp2",0.316226715731911,0.330388714829526,0.957135342516399,0.338498946923264
"racehisp4",0.728911895810284,0.268711257180945,2.7126213596606,0.00667533331098558
"racehisp97",-0.389422811344438,0.460430914177213,-0.845779028630894,0.39767602662173
"emply2",0.203531773045453,0.148883828784492,1.36705090611327,0.171609349870099
"educa2",-0.510524730622622,0.526567270258617,-0.969533731885546,0.332278958499814
"educa3",-0.18062414094349,0.500911440955512,-0.36059096713571,0.71840524283819
"educa4",-0.704565913993033,0.501139446071521,-1.40592787000942,0.159745544476088
"educa5",-0.65040798494977,0.502913649739248,-1.29327964211549,0.195914359044238
"hhsize",0.0728498115512622,0.0555873464386978,1.31054666607627,0.190010968210171
"incom7",-0.417139575984334,0.133468141321264,-3.12538686652015,0.00177571359033373
"rail_any",-0.520955060660439,0.337957241477416,-1.54148216615519,0.12319948004479
"park_access",-0.0403426441235538,0.0342602485965676,-1.17753506691121,0.238982009625361
