"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.72492355736708,0.12648498743939,5.73130117686458,9.96631234494584e-09
"walk_tr_any",0.37404688728256,0.0485680626816839,7.70149902280582,1.34479204173146e-14
"gender2",-0.128607717825749,0.0482185171390046,-2.66718525281475,0.00764894970359305
"racehisp1",-0.00976247442477886,0.0859921083837048,-0.113527562101603,0.90961231293504
"racehisp2",-0.0470964974068228,0.160413649869243,-0.293594076596426,0.76906810260272
"racehisp4",-0.279434161913269,0.101521581624963,-2.75246068314364,0.00591492484037143
"racehisp97",0.247910380892672,0.174923969244018,1.41724648693993,0.156410874721162
"emply2",0.240959520339946,0.0578162550500911,4.16767776002064,3.07718525700079e-05
"own2",-0.413495188198487,0.071035069515211,-5.82100068347147,5.84963304020896e-09
"hhsize",-0.0319640047713627,0.0254126923702863,-1.25779686408735,0.208465230107965
"child_any1",-0.130555329466935,0.0655677121053401,-1.99115273775585,0.0464640980028403
"disabled1",-0.134866621242676,0.0915088711574342,-1.47380925517755,0.140532955690833
"disabled2",-0.459907349599372,0.0841394015461523,-5.46601641024394,4.60261746732368e-08
"walk_index_chis_adult_modPA_any",-0.021597970368048,0.0055058862953697,-3.92270548453049,8.75601598642889e-05
"school_distance",-0.0192966460904963,0.0110060084523613,-1.75328287035399,0.079553464329293
