"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",5.18135625169174,0.145831435173615,35.5297624652959,9.18570953587018e-246
"walk_tr_any",0.0341919379708411,0.0266740820666705,1.28184122270375,0.199960081040996
"gender2",-0.15999692594923,0.0267847022426815,-5.97344426305679,2.49001358421489e-09
"racehisp1",0.00455978940201984,0.0481958414467992,0.094609602512141,0.924628859883967
"racehisp2",-0.132406852649101,0.0904152478879549,-1.46443056610521,0.143141639340856
"racehisp4",-0.202848410808505,0.0592564021248493,-3.42323198059033,0.000623973340165154
"racehisp97",-0.0354243852186572,0.0911587163641615,-0.38860118518062,0.697588375055122
"emply2",0.143623718353539,0.031292748432174,4.58968053460815,4.55218920380014e-06
"educa2",-0.0249823536258604,0.135134933822631,-0.184869692234064,0.853339030862554
"educa3",-0.132361761297015,0.131683663447111,-1.00514944551324,0.314875413490035
"educa4",-0.1478409977416,0.130388137361607,-1.13385313060796,0.256912620193959
"educa5",-0.234616121491738,0.130981669596824,-1.79121339813359,0.0733218548739786
"own2",0.0730602651986511,0.0430001477108121,1.69907009831691,0.0893705880166558
"hhsize",-0.0348210954960884,0.0145288740013582,-2.3966823232711,0.0165821713840244
"incom7",0.0661469184177652,0.0268018462799112,2.46799857468566,0.0136215991439445
"child_any1",-0.0836541063965816,0.0369354632847144,-2.26487226521947,0.0235647864098824
"walk_index_chis_adult_modPA_min",-0.0135948074461507,0.00253684493342537,-5.35894301895481,8.76152881183308e-08
"school_distance",-0.0152964035208495,0.00633949494893945,-2.41287415544175,0.0158644173352653
"park_access",-0.010110972356046,0.00754625028796647,-1.33986708235338,0.180351802841018
