"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.849431585012222,0.368380015100648,-2.30585686028636,0.0211186318182042
"mvpa_METS_log",-0.155017264446323,0.013605978877432,-11.3933194989335,4.51456563684817e-30
"gender2",-0.575874089888341,0.0642082804773654,-8.96884460395021,2.99640953450306e-19
"age",0.0166385767417594,0.00341684016770666,4.86958005791854,1.11835666954385e-06
"racehisp1",-0.288098427878393,0.107097776217376,-2.69005051322113,0.00714412042983852
"racehisp2",0.461428849913927,0.180524631340017,2.55604371818286,0.0105869816607249
"racehisp4",-1.57856291156334,0.167637559217045,-9.41652287790431,4.66273440368957e-21
"racehisp97",0.0334286263892635,0.203972872456553,0.163887609105391,0.869819621709522
"emply2",-0.125955260237413,0.0785125109903594,-1.60426992652011,0.108654567021596
"educa2",0.322786601011729,0.303833727259969,1.06237909768175,0.28806361900223
"educa3",0.210702677692704,0.298337012268183,0.706257249446803,0.480028173889384
"educa4",-0.0389804378357228,0.296674518732095,-0.131391256661726,0.895465804875992
"educa5",-0.186105845957713,0.298835819410475,-0.622769540561941,0.533435977180761
"hhsize",0.0496019394872535,0.0345577557379833,1.43533451255733,0.151191797527776
"incom7",-0.0731752647739911,0.0642383593556008,-1.13912100975242,0.254652685647262
"child_any1",-0.10278320291508,0.0899861768891373,-1.1422110202738,0.253366316308644
"disabled1",0.173563015096912,0.118397414080256,1.46593586055235,0.142665761264028
"disabled2",0.592264630202288,0.0988305974639595,5.99272538464891,2.06353149866207e-09
"walk_index_chis_adult_obese",-0.0192755540175222,0.0129158987211351,-1.49238968450414,0.135597017700309
"transit_access",-0.0246570091997327,0.013561208544604,-1.81820146181173,0.0690333466769841
"majrd_index",0.0526737892017264,0.0189340298521686,2.78196398827867,0.00540310351001471
"park_access",-0.039387181036309,0.0172124622876691,-2.28829439844442,0.022120382506445
