"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.81832723035933,0.313753091885894,5.79540816452137,6.81552156398299e-09
"walk_tr_any",0.475517139577677,0.0783966642799368,6.06552771020604,1.31521090902986e-09
"gender2",-0.174201809993547,0.0759920344200957,-2.29236934269363,0.021884339530348
"racehisp1",-0.0648840112502873,0.137892404798594,-0.470540863690478,0.637968646279501
"racehisp2",-0.513053195665158,0.228011498112692,-2.25011984005994,0.0244413389720839
"racehisp4",-0.705835607201921,0.155881510547114,-4.5280264780895,5.95371227931126e-06
"racehisp97",0.103343139299145,0.281611215936506,0.366970963693595,0.713640676904577
"emply2",0.251597863883053,0.0913169337087426,2.75521585827148,0.00586534251603999
"educa2",0.212512249845017,0.285835255670337,0.743478089666146,0.45719228188084
"educa3",0.55453596514254,0.280600230730881,1.97624914169934,0.0481265666447249
"educa4",0.755294104577192,0.277298981773382,2.72375361693338,0.00645446376055124
"educa5",0.876396008895445,0.280311481241064,3.1265077156856,0.00176895862571517
"own2",-0.349263120150428,0.103740628638315,-3.36669562094241,0.00076074604708072
"hhsize",-0.120514214411679,0.0375934723511753,-3.2057218148382,0.00134724165249949
"incom7",0.124319277866737,0.0765097373133894,1.62488177625701,0.104187751955934
"child_any1",0.208264025966475,0.101383598117336,2.05421813620624,0.0399545838330731
"disabled1",-0.334651746412133,0.133651913974848,-2.50390537972477,0.0122830878421694
"disabled2",-0.934859031796989,0.108249912061738,-8.63611816390034,5.81553590423708e-18
"walk_index",-0.0281678022535448,0.0104039601692545,-2.70741158129243,0.00678101311239515
"regional_access",0.0405000916976923,0.0225238846200543,1.79809532773191,0.072161902531712
"park_access",0.0465629138244351,0.0211200335085301,2.20467992182062,0.0274765630323636
