"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",5.55618330192414,0.0624969729516633,88.9032386611977,0
"walk_tr_any",0.13438526658289,0.0234354139630177,5.73428174961862,1.02046716935543e-08
"gender2",-0.111861000935955,0.0234925606906157,-4.76154993953637,1.96013676014559e-06
"racehisp1",-0.0198844831650704,0.0419829299593489,-0.473632573627523,0.635776860598066
"racehisp2",-0.118368533557544,0.080252491254716,-1.47495151498599,0.140271000235422
"racehisp4",-0.355864864800254,0.0505702480483444,-7.03704012802255,2.15194600887889e-12
"racehisp97",-0.0691807304464475,0.0823225598501182,-0.840361749833854,0.400734576639977
"emply2",0.213942225546797,0.0277456035520854,7.7108513839021,1.42478354778736e-14
"hhsize",-0.0259249612674576,0.0126391160584748,-2.05116885923952,0.0402880141884574
"incom7",0.102609402031612,0.0231490492630316,4.4325536165961,9.45581013062115e-06
"child_any1",-0.132109362769562,0.0321620077582335,-4.10762175553987,4.04354847639156e-05
"disabled1",-0.0754140386341841,0.0454516066453359,-1.65921612458386,0.097117492846686
"disabled2",-0.243986975468286,0.0443559527037673,-5.50065911328208,3.91881370761791e-08
"walk_index",-0.01062885030428,0.0028564519792979,-3.72099737062356,0.000200007567179965
"rail_any",-0.107035311923137,0.0519762822210394,-2.05931065765627,0.0395017590885931
"school_distance",-0.0191438890462774,0.00539474208202271,-3.54861988862675,0.000389819574395111
