"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.801923132897149,0.258927872556787,3.09709080362244,0.00195430000428102
"walk_tr_any",0.220885214602701,0.0479021423041932,4.61117611817886,4.00397123202658e-06
"gender2",-0.517943671654643,0.0484171588572771,-10.6975230244597,1.04535247907373e-26
"age",-0.0248441549482719,0.00240737364230085,-10.3200244913071,5.7208563094231e-25
"racehisp1",-0.00705431676867576,0.087201586039634,-0.0808966566900458,0.935524138827616
"racehisp2",-0.0272988244005672,0.161958070937728,-0.168554887339103,0.866146767419272
"racehisp4",-0.660837149444232,0.105931369183982,-6.23835181717032,4.42205235180043e-10
"racehisp97",0.110330466523764,0.169255971587798,0.651855680415576,0.514494277954681
"emply2",0.0912599740116289,0.0582927097938301,1.56554694977121,0.117454717826515
"educa2",-0.0768055290997408,0.239436873812591,-0.320775692886205,0.748380381020684
"educa3",0.128202466745414,0.233331962620123,0.549442370885701,0.582701903170279
"educa4",0.337098086532625,0.230643555521174,1.46155432685254,0.143863378007036
"educa5",0.434691633557875,0.231820589855197,1.87512090202772,0.0607760926152232
"incom7",0.198646260390297,0.0483250810848154,4.11062446106717,3.94590517057742e-05
"child_any1",-0.0900268045414908,0.051131039532972,-1.76070749516909,0.0782879235069917
"disabled1",-0.174729482455339,0.0930333487338158,-1.87813816049199,0.0603622671472856
"disabled2",-0.891628808026988,0.100081051089811,-8.90906718422504,5.14637203612306e-19
"rail_any",-0.176008372964356,0.104654656339014,-1.68180164286434,0.092607310062978
"park_access",0.0361442208626619,0.0131617154319801,2.74616337433031,0.0060296728860268
