"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",5.04060001514695,0.0888005134856152,56.7631854512134,0
"walk_tr_any",0.00275090123771699,0.0309537484693448,0.0888713443039495,0.929189718649414
"gender2",-0.131253295378058,0.0313517380278031,-4.18647589048049,2.90953274202737e-05
"age",-0.0019736965508503,0.00143883205778376,-1.37173517935818,0.170242056617001
"racehisp1",-0.0634295218003868,0.0549194131330893,-1.1549562928991,0.248194561131751
"racehisp2",-0.0782553702025015,0.104244520324194,-0.750690491539812,0.452894141972271
"racehisp4",-0.297895843407827,0.0688116404085894,-4.32914898756928,1.5427611159329e-05
"racehisp97",-0.0434104008237104,0.104742909528773,-0.414447154647595,0.67857444038372
"emply2",0.089297185986814,0.0375025874833859,2.38109399855073,0.0173194785829303
"own2",-0.0785389817306487,0.0474601764316391,-1.6548396494854,0.0980550939936715
"incom7",0.0426377398464186,0.0311471030775661,1.36891510392595,0.17112189327913
"child_any1",-0.0834916133487182,0.0320360450676251,-2.60617729724363,0.00919835896727431
"regional_access",0.0102099789871854,0.00854259770787895,1.19518433810463,0.23210358355756
