"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.404692934445519,0.270528426586258,-1.49593497272081,0.134670601588345
"walk_tr_any",0.311846024295236,0.0506785751412172,6.15340947187779,7.58346723032436e-10
"gender2",0.332172830420644,0.0504799567157733,6.58029150640795,4.6952680585852e-11
"age",0.00612485548358026,0.00252883335986911,2.42200833822332,0.0154349963787778
"racehisp1",-0.021257661553548,0.0919733091194608,-0.231128593252388,0.81721490223465
"racehisp2",-0.331917873177234,0.164342432071735,-2.01967239375132,0.0434173804446979
"racehisp4",-0.507633932018734,0.107163130820248,-4.73702035516507,2.16883389038659e-06
"racehisp97",-0.42426187288603,0.171219280598977,-2.4778860850357,0.013216333365402
"emply2",0.238396297179751,0.0616281848761772,3.86829983162306,0.000109596851341935
"educa2",0.513734344440316,0.227017089116284,2.2629765293888,0.0236371361529832
"educa3",0.664037675634473,0.221602777238822,2.99652235368348,0.002730782160547
"educa4",0.776040471560811,0.219037639934914,3.54295486287839,0.000395670418512441
"educa5",0.887037554687886,0.220633118260916,4.02041888216843,5.80947510644834e-05
"hhsize",-0.0567781005791493,0.0270459577927598,-2.09931927773506,0.0357887651681658
"incom7",0.112540458833745,0.0505250586556628,2.22741866765021,0.0259193059481673
"child_any1",0.108077479688878,0.0693024142174193,1.55950526268554,0.118876839958511
"disabled1",-0.288230977284759,0.0938453333788767,-3.07134054413873,0.00213099951868671
"disabled2",-0.592464087734112,0.0865100314310237,-6.84850158916537,7.46275059506066e-12
"transit_access",-0.0101745827361889,0.00988317304375419,-1.02948543864856,0.303251618850773
"rail_any",0.153788894125711,0.114375867482166,1.34459215489395,0.178756978202781
"park_access",0.0301616104596449,0.0137798749704422,2.18881597433514,0.0286102181955115
