"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.25035209131175,0.0929422006038703,45.7311325070428,0
"walk_tr_any",0.0806972284361108,0.02453588090745,3.28894767383746,0.00101217896474063
"gender2",0.156672403122426,0.0249815112690614,6.27153423325746,3.8579238870434e-10
"age",0.00856161452494481,0.00125655334882998,6.81357025781422,1.05768969233624e-11
"racehisp1",-0.0755545817095722,0.0447911612114378,-1.68681899879565,0.0916969109542087
"racehisp2",-0.101520700374182,0.0859440110825491,-1.18124228896731,0.237559398492456
"racehisp4",-0.195368848954979,0.0543067988975029,-3.59750257649531,0.000324212511175539
"racehisp97",-0.0525443650986827,0.0922819962407582,-0.56938912506398,0.569116184245477
"emply2",0.149658570824797,0.0289503414472686,5.16949242541377,2.43332793380142e-07
"hhsize",-0.0494579436923955,0.0137912990566149,-3.58617005471092,0.000338589434341001
"incom7",0.0992606230439348,0.0244590857908171,4.05823111676566,5.0156141505818e-05
"child_any1",-0.0588055091396412,0.0340440383370228,-1.72733647393677,0.0841654129299808
"disabled1",0.0223894062446036,0.0490018054190078,0.456909823080086,0.64775455686305
"disabled2",-0.199051043684545,0.0480353363809942,-4.14384614912995,3.46842277018835e-05
"school_distance",-0.0155442485539198,0.00554474603393276,-2.80341939176151,0.00507474100622301
