"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.385145550727801,0.166025936453429,2.31979146725569,0.0203521608954611
"gender2",-0.287231050999005,0.0464627366709354,-6.18196584142839,6.33082265546121e-10
"age",-0.0040719642825465,0.00238783743894397,-1.7052937591712,0.0881396509492702
"own2",0.282925322984847,0.0732446926290208,3.8627416244047,0.000112121576572897
"hhsize",-0.0458198301698445,0.0198127268449315,-2.31264633729941,0.0207420916649618
"incom7",0.101429975807561,0.0469365392576543,2.16100243886259,0.0306951510216369
"disabled1",0.0476832506962893,0.0897505605975744,0.531286382823753,0.595220340201284
"disabled2",-0.228307122483278,0.0857680250094978,-2.66191418606171,0.00776976841221886
"walk_index",0.0473254921579239,0.00736477485103332,6.42592517967929,1.31069863227095e-10
"transit_access",0.0109097040684974,0.010675216958345,1.02196555920759,0.306797201401076
"rail_any",0.277721867391016,0.107608147888562,2.58086281420458,0.00985537367123674
"majrd_index",-0.0471200206995043,0.0143049587353809,-3.29396411210616,0.000987851101059687
"regional_access",0.051496301539801,0.0144586413764391,3.56162797036491,0.000368562389607529
"school_distance",-0.0289142620818118,0.0114632290336094,-2.52234880739424,0.0116574050909336
"park_access",0.023566318527996,0.013451730391215,1.75191725098702,0.0797880377598085
