"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.37826724052745,0.161121726483129,27.173661405533,6.71475720473707e-148
"gender2",-0.0567983748426558,0.0321532985483471,-1.7664867185322,0.0774000788438599
"age",0.00359920156389132,0.00154738755991126,2.32598584681509,0.020075299873387
"racehisp1",-0.174321703907021,0.0582417160341842,-2.99307293426425,0.00278085148430633
"racehisp2",-0.157582364518296,0.106511831749968,-1.47948225027445,0.139100125921157
"racehisp4",0.0127792185570373,0.0695196669989313,0.183821630751393,0.854163876049236
"racehisp97",-0.147740129066789,0.114761403980889,-1.2873677381238,0.198049996286507
"emply2",0.116175942670514,0.0392254064874532,2.9617524220603,0.00307920179050784
"educa2",-0.10469934178047,0.14362446942921,-0.728979833287214,0.466062046407245
"educa3",-0.218532379633389,0.139412537768571,-1.56752314484196,0.117081511136265
"educa4",-0.297994166681499,0.137495420394056,-2.16730248780258,0.0302780182702823
"educa5",-0.303792891386548,0.138382835345004,-2.19530760899036,0.0282059964939311
"incom7",0.0478497538493391,0.0322739206183508,1.48261360666953,0.13826578787365
"child_any1",-0.0746912206888898,0.0336129925433364,-2.22209375117649,0.0263397180732837
"disabled1",0.162716550098411,0.0609068144776537,2.67156559563808,0.00758427655136319
"disabled2",-0.0164779110989658,0.0615258557865447,-0.267820916723752,0.788852715611044
"rail_any",0.165941776430513,0.0617088063788606,2.68911013140839,0.00719774000687844
"school_distance",-0.0219628940811862,0.00700446533607879,-3.1355561099088,0.00172929373749267
