"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.32155258862288,0.0146998708896985,225.95794300143,0
"mvpa_METS_log",-0.00975597832576318,0.000927113511208019,-10.5229599265048,9.90357902881762e-26
"gender2",-0.0239640768141301,0.00471903822308522,-5.07816967807115,3.89547776014742e-07
"age",0.00224772719804279,0.000199323482492113,11.2767806880543,2.8163860125971e-29
"racehisp1",-0.0472073362744793,0.0062743895987728,-7.52381335767108,5.88833036933338e-14
"racehisp2",0.0209565067929877,0.0103038741909555,2.03384730875139,0.041999378921606
"racehisp4",-0.170797695322502,0.00727814878069004,-23.4671893182031,6.8277196851989e-118
"racehisp97",-0.0120640429669392,0.0144146703346575,-0.836928121618809,0.402657559638767
"educa2",-0.0214969844403891,0.0067121331620977,-3.20270529818732,0.00136667622105254
"educa3",-0.0270919246446852,0.00709864477146233,-3.8164925160925,0.000136365927414864
"educa4",-0.0554962296847848,0.00838993767070779,-6.61461763637906,3.96056397126551e-11
"educa5",-0.0791844961694221,0.0117283709385242,-6.75153408640277,1.56332311777213e-11
"own2",0.0123935720400791,0.00490448658831802,2.5269866308941,0.0115233847585089
"child_any1",0.00655123217956442,0.0053091092138827,1.23396071085404,0.217253196612137
"disabled1",0.00748405698255618,0.00650571005094391,1.15038280586611,0.250020057376265
"disabled2",0.0443911794518347,0.00605533743132598,7.33091755088437,2.50521227162546e-13
"walk_index_chis_adult_bmi",-0.00238778388833068,0.00056805401953645,-4.20344510594114,2.65696364893339e-05
"school_distance",-0.00240035019012664,0.000964646134331443,-2.48832199155623,0.0128546045254238
