"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-8.61049262404778,0.871803632908298,-9.87664228390923,5.25647554429922e-23
"mvpa_METS_log",-0.0474796523489553,0.0179141096127491,-2.65040537181737,0.00803952449560541
"BMI_log",0.710600335256801,0.225437016657647,3.15210139750888,0.00162099972141465
"gender2",-0.348664228349724,0.101126005544407,-3.44781964315416,0.000565131269270927
"age",0.0617467943057925,0.00615796613612213,10.0271409327165,1.15821804708857e-23
"racehisp1",0.291152274158399,0.140813491498257,2.06764473389967,0.0386734423144577
"racehisp2",0.189278766087243,0.213891343669539,0.884929529358038,0.376194640382353
"racehisp4",0.0558824075290664,0.185018010559389,0.302037663036748,0.76262335195668
"racehisp97",0.772158435654038,0.249738021146416,3.09187376479346,0.0019889741148361
"emply2",0.46556255271104,0.114000695458245,4.08385712770991,4.42942703693121e-05
"educa2",-0.430719358562426,0.149904051712845,-2.87330031203898,0.00406207781304564
"educa3",-0.250530091104999,0.149598449093656,-1.67468374587329,0.0939962982051338
"educa4",-0.360622277191359,0.186529596667619,-1.933324703607,0.0531962104530618
"educa5",-0.304031402711492,0.262261464272368,-1.15926830331331,0.246346837558647
"own2",0.14970950223867,0.106298952817823,1.40838172220986,0.15901806849808
"incom2",0.0124836322605373,0.14458960701251,0.0863383787982574,0.931197430496367
"incom3",-0.342016275383001,0.178711381487378,-1.91379123442766,0.0556468359692239
"child_any1",0.136271719368841,0.126616215906347,1.07625803214365,0.281811872367887
"disabled1",0.787293607534791,0.145095291643979,5.42604517772071,5.76163814306366e-08
"disabled2",1.113047100678,0.125411920767121,8.87513000255239,6.98517739119745e-19
"majrd_index",0.0416082991872134,0.0255565531666014,1.62808728219223,0.103506379824827
"regional_access",-0.0402198866224675,0.0241342407187815,-1.66650722892509,0.095612429581144
