"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.377152390570862,0.136695187859569,2.75907584221854,0.00579650806029992
"walk_tr_any",0.350490754754246,0.0441636131762916,7.9361884036789,2.08489235873238e-15
"gender2",-0.186334106329234,0.0440651077853753,-4.22860888566975,2.35140708662875e-05
"age",-0.00259967476491341,0.00183345971105447,-1.41790667623575,0.15621801297538
"racehisp1",-0.150413274101011,0.0587101515360823,-2.56196364965214,0.0104082211512785
"racehisp2",-0.286247403566564,0.0953185763638336,-3.00305999613286,0.00267279734106843
"racehisp4",-0.202286319414288,0.0688196968621142,-2.93936661504896,0.0032888379675636
"racehisp97",-0.0547653400591941,0.128948190841845,-0.424708091689041,0.671049484349803
"educa2",0.224992578613445,0.0626238738634289,3.59276047189467,0.000327193326294669
"educa3",0.258527119030309,0.0667728637260819,3.87173927556632,0.000108061506579079
"educa4",0.366536457591362,0.0792519157469126,4.62495390978156,3.74681707808477e-06
"educa5",0.233937310590379,0.110829875414395,2.11077843149857,0.0347913608471976
"own2",-0.372912210070042,0.0474705225351089,-7.85565842032261,3.9767749160942e-15
"incom2",0.0231240983369495,0.0667837141958985,0.346253553210877,0.729152171244516
"incom3",0.107415075847645,0.0758318333733009,1.41649055639823,0.156631927162258
"child_any1",-0.204982682137211,0.0494439595823499,-4.14575782094894,3.38691659335822e-05
"disabled1",0.0250056239398462,0.0606708486475405,0.412152203195857,0.680227867784825
"disabled2",-0.449283443713868,0.057001014247809,-7.88202542783942,3.22116450229502e-15
"walk_index_chis_adult_modPA_any",-0.0255281015869509,0.00445196866599846,-5.73411528745016,9.80226428766548e-09
"school_distance",0.013066390129256,0.00892537836232457,1.46395924058652,0.143205085395878
