"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.86032161422999,0.0907940087684434,53.5313032231622,0
"walk_tr_any",0.0435073266627095,0.0307360960412851,1.41551245168774,0.156983177326443
"gender2",-0.130206950062137,0.0304204058288898,-4.28025026340975,1.90322357094188e-05
"age",-0.00331421020608101,0.00121735116928217,-2.72247670985134,0.00650286909113901
"racehisp1",0.113489567056831,0.0398771524443286,2.84597971771606,0.00444627470491545
"racehisp2",0.0485787125972075,0.0695143651908868,0.69882983846303,0.484692236275299
"racehisp4",-0.0145183398325665,0.0485130234442267,-0.29926685252379,0.764749400640169
"racehisp97",0.262173333401745,0.0890386612995639,2.94448871507268,0.0032504093313708
"emply2",0.0805650584962346,0.0303279822439026,2.6564595642505,0.00792271699956113
"educa2",0.167373123870787,0.0445876083547328,3.75380358011557,0.000176230706739135
"educa3",0.167213873700395,0.0473188581934169,3.53376814412775,0.000413539402294612
"educa4",0.113213933261475,0.0548964315721953,2.06231862471034,0.0392311031396953
"educa5",0.0877047633099541,0.0767194155814632,1.14318862631098,0.253017296266632
"own2",-0.0774112136335481,0.0325982471029073,-2.3747047928428,0.0176020731485214
"incom2",-0.0487245647591132,0.0479197716041335,-1.01679459496652,0.309302401147531
"incom3",-0.117617221575659,0.0533973890771267,-2.2026773894464,0.0276648562326589
"child_any1",-0.143813844924789,0.0338755784581828,-4.24535466168696,2.22370711860577e-05
"walk_index_chis_adult_modPA_min",-0.0114696284978801,0.00283533106958623,-4.0452519358009,5.30877117483801e-05
"majrd_index",0.0138298293418301,0.00785763689663904,1.7600494300959,0.0784631116204855
"park_access",-0.0126396145200419,0.00905421494315558,-1.39599231953254,0.162781368845553
