"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.539827528964752,0.166557206749936,-3.24109379292866,0.00119071999609228
"mvpa_METS_log",-0.0952334311732391,0.00995812707302352,-9.56338782131287,1.13963748892568e-21
"age",0.0120643479250228,0.00234713820670676,5.14002451604675,2.74702624433123e-07
"racehisp1",-0.266000928731076,0.0690905329770016,-3.85003440080019,0.000118101236041796
"racehisp2",0.216495362883718,0.106771821520325,2.02764512022964,0.0425964804699998
"racehisp4",-1.76292494518935,0.119953247346093,-14.6967671504791,6.76113639774625e-49
"racehisp97",-0.0249054098865582,0.152510693040603,-0.163302712682104,0.870280098163285
"emply2",0.0721199013160088,0.0540346817820856,1.33469651226704,0.181975695550303
"educa2",-0.10991019788046,0.0733300454142682,-1.49884262664148,0.133914463286498
"educa3",-0.244789104610333,0.0781949328677923,-3.13049830254614,0.00174510007864056
"educa4",-0.57851881998166,0.100272057914855,-5.76949184061729,7.95109277449636e-09
"educa5",-0.808275572930084,0.151631539737664,-5.33052407387322,9.79297500828184e-08
"own2",0.097326813096839,0.0555012848150869,1.75359567658842,0.0794998123719231
"child_any1",-0.0695103831537325,0.0609175248117446,-1.14105724696699,0.253846100980614
"disabled1",0.0573087133024139,0.0749062505695594,0.765072512195708,0.4442283669671
"disabled2",0.404453416042051,0.0669295795379552,6.04296962320955,1.51303149360034e-09
"walk_index_chis_adult_obese",-0.0340277346280767,0.00842902967969896,-4.03696936908781,5.41461352535551e-05
"school_distance",-0.0235458885302481,0.0108980821226795,-2.16055341345316,0.0307298533759532
