"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.53628724432135,0.146318997321177,10.4995747131121,8.67701660088964e-26
"walk_tr_any",0.600839675522201,0.0531113740826817,11.312824906146,1.13379336908156e-29
"gender2",-0.147508911866429,0.0535782518748146,-2.75314902418025,0.00590250213466034
"age",-0.00741728806542837,0.00227587189351105,-3.25909735366762,0.00111767307324417
"racehisp1",-0.0270196958874372,0.0712170312329935,-0.379399357423923,0.704391327655834
"racehisp2",-0.356966838027247,0.107323144055032,-3.32609374399434,0.000880723026113707
"racehisp4",-0.0855031820245464,0.0834935187656797,-1.02406969173867,0.305802358648696
"racehisp97",-0.0808267253938494,0.151416013408833,-0.533805662784239,0.593475995500599
"emply2",0.0975971177415749,0.0539691435093854,1.80838737462273,0.070546231531452
"educa2",0.218805933411917,0.0728062649282048,3.00531738069086,0.00265303856678148
"educa3",0.314109153835274,0.0779690259259181,4.02864022097343,5.61003959725265e-05
"educa4",0.505997236605188,0.0962025261062276,5.25970842019743,1.44284007591857e-07
"educa5",0.604691416441568,0.144052102308951,4.19772711921049,2.69607219077686e-05
"own2",-0.25622898101875,0.05699419359243,-4.49570324393155,6.93403881532857e-06
"child_any1",-0.166750794992424,0.0596275239459278,-2.79654065702341,0.0051652911619178
"disabled1",0.0264438328234485,0.0758166237139858,0.348786737367869,0.727249420959281
"disabled2",-0.567718815374449,0.0661315996380472,-8.58468294252216,9.10872903008887e-18
"walk_index",-0.0253381004550711,0.00772750464214253,-3.27894988466106,0.00104194137699183
"rail_any",-0.0821772372622334,0.0810925784128615,-1.0133755624818,0.310880807421444
"majrd_index",-0.015844570784649,0.0133504171160145,-1.18682215296799,0.235297778764499
"regional_access",0.0249335228543585,0.0139241134293723,1.79067220192004,0.0733459130653718
