"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",5.44620518099308,0.0817621582463257,66.6103402577173,0
"walk_tr_any",0.10970229773747,0.0263394670610822,4.16493991632657,3.15115910838195e-05
"gender2",-0.139561626487189,0.026272375066848,-5.31210543896717,1.11650605462103e-07
"age",-0.00453689224494492,0.00109827851314094,-4.13091232384215,3.65465806995087e-05
"racehisp1",0.0127751514839592,0.0353146651764231,0.361752020587985,0.717548093089902
"racehisp2",-0.0291263607379975,0.0589632147333722,-0.493975114309913,0.621339005755011
"racehisp4",-0.0851449733114919,0.0412392770575203,-2.06465727303445,0.0389915987935768
"racehisp97",0.0763206848266416,0.0778603248145701,0.980225615657328,0.32700809588943
"emply2",0.0923291185674267,0.0265326056029815,3.47983609107172,0.000504728319542921
"educa2",0.114443102451466,0.0380360464476158,3.00880646491691,0.00263194553798031
"educa3",0.118905662704265,0.0403889078686396,2.94401777564752,0.00325029255292178
"educa4",0.141790230785277,0.0472581646848934,3.00033299495869,0.00270619277762435
"educa5",0.18909734211115,0.0651402038056807,2.90292831559516,0.00370827343997247
"own2",-0.146417023338337,0.0279152111998516,-5.24506235292662,1.60735000941167e-07
"hhsize",-0.0201608546162357,0.0107018526762615,-1.88386583389956,0.059623872838016
"child_any1",-0.128214425468561,0.0359764763605272,-3.56384055469187,0.000367863390297686
"disabled1",-0.0439143738466612,0.0359952643811607,-1.22000420337641,0.222503723112636
"disabled2",-0.182096266280705,0.0359285536110944,-5.06828825484572,4.11533151405853e-07
"walk_index",-0.0156031145705393,0.00355317457001216,-4.39131662773492,1.14297396843182e-05
"regional_access",0.0126583447928868,0.00682913465739057,1.85357961556487,0.0638406966504856
