"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.70010867225286,0.160919601129443,4.35067367392799,1.35719908503666e-05
"walk_tr_any",0.311751922340451,0.052438193271512,5.94513088439712,2.7623604588837e-09
"gender2",-0.678541914149073,0.0512868485261139,-13.2303296780573,5.86296373125474e-40
"age",-0.0363103680570156,0.00209401334565405,-17.3400843563747,2.34392692719861e-67
"racehisp1",-0.0298854049050773,0.0684201239644662,-0.436792615584826,0.662261754835535
"racehisp2",0.00965996036976902,0.112882151538611,0.0855756223468583,0.931803777904138
"racehisp4",-0.300692240688157,0.0840015125675252,-3.5796050749258,0.000344113863443347
"racehisp97",-0.136197340604833,0.156480392415641,-0.870379595183192,0.384092993923069
"emply2",-0.0877852134599687,0.0527366571536965,-1.66459571383386,0.095993441064081
"educa2",0.314277764709907,0.0774927776704279,4.05557490849678,5.00111412429883e-05
"educa3",0.436486015329802,0.0826202584632642,5.28303860879204,1.27058600805425e-07
"educa4",0.705002004053107,0.0946150248274004,7.45126902771725,9.24466280631844e-14
"educa5",0.85782815300343,0.126101605119729,6.80267433700747,1.02694622529564e-11
"own2",-0.195516732250218,0.0560668791318665,-3.48720555303912,0.000488096057652965
"incom2",-0.0769980481590509,0.080761561343532,-0.953399697555716,0.340387594609405
"incom3",0.13376064129809,0.0896535440650799,1.49197271221083,0.135706299085196
"child_any1",-0.214950631512259,0.0576689068133877,-3.72732280512657,0.000193524528465119
"disabled1",-0.135178535104476,0.0723068891377231,-1.86951114501692,0.0615517345354925
"disabled2",-0.553627102384056,0.0770115879557707,-7.1888804929203,6.53247189871216e-13
"walk_index",-0.0120459779615055,0.00655746591554985,-1.83698674406231,0.0662118523268101
"school_distance",0.0132730606541414,0.0110244141265052,1.20396970776251,0.228601286990283
"park_access",0.0185434987424509,0.0160014405898035,1.15886433089451,0.246511490173719
