"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",5.38352510327407,0.114664334892041,46.9503015767088,0
"walk_tr_any",-0.0373284486415899,0.0422750644754578,-0.88298975069004,0.377333608942089
"gender2",-0.211127276434457,0.0404961529267239,-5.21351440015754,2.0174044966969e-07
"age",-0.00547120749366917,0.00160115994182432,-3.41702746287507,0.000644038959697707
"emply2",0.0852068486960935,0.0411287649838303,2.07170939194485,0.0384032060299773
"own2",-0.0631716173947939,0.0444532140427594,-1.42108098942023,0.155428073566945
"hhsize",-0.0511891329665492,0.0123197728142176,-4.15503871203488,3.37058561903043e-05
"incom2",-0.128666531635371,0.0636797654796118,-2.02052458369317,0.0434440897250817
"incom3",-0.122818404010842,0.0690964327693377,-1.77749268794877,0.0756186377872906
"disabled1",-0.0866600310259503,0.0576467014449848,-1.50329557205722,0.132899417025626
"disabled2",-0.152794723807019,0.0639372051671113,-2.38976232082185,0.0169389429583747
"walk_index",-0.0110033058654126,0.00581379435187476,-1.89262041266808,0.0585331728317649
"majrd_index",-0.0163360603361871,0.0103905834918628,-1.57219855352497,0.116041340426217
"regional_access",0.0117373861773757,0.0109308370798268,1.07378658117935,0.283030401293041
"park_access",0.0136140296759514,0.0124659216042233,1.09209973463487,0.274903053213901
