"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.253437018976316,0.0867975431889441,-2.91986396924421,0.00350184205382082
"walk_tr_any",0.528732753374142,0.0439107678347655,12.0410728266867,2.16126497058228e-33
"gender2",0.226933954794464,0.0438790344426434,5.17180830610803,2.31839359091559e-07
"racehisp1",0.0309170544066946,0.0562066125460371,0.550060802567873,0.582277670539984
"racehisp2",-0.238881165910628,0.0942708587092697,-2.53398737617672,0.0112772794302281
"racehisp4",-0.148788717746134,0.0687474988869431,-2.16427826692024,0.0304429996466376
"racehisp97",-0.220681687169294,0.12784694244667,-1.72613973354387,0.0843222770837789
"emply2",0.143189327397775,0.0447528144752045,3.19956027518917,0.00137637403706637
"educa2",0.113406071629839,0.0617269488699163,1.83722140339112,0.0661772172218595
"educa3",0.212534267092886,0.0660060260866799,3.21992217519327,0.00128225401847257
"educa4",0.304356449016209,0.0785020497926557,3.87705097917944,0.000105730210871263
"educa5",0.445623161642174,0.113188555145368,3.93699841004118,8.2507153436128e-05
"own2",-0.115406892994906,0.0452324239976293,-2.55141959672458,0.0107285075345838
"disabled1",-0.0337091605579617,0.0608769460522017,-0.553726209081779,0.579766235586984
"disabled2",-0.380750587085224,0.0558118508952705,-6.82203834808655,8.97576968868647e-12
"rail_any",-0.145580763612279,0.0667068209793778,-2.18239696443164,0.0290802481737685
"regional_access",0.0176879394282265,0.0106860511909051,1.65523626194872,0.0978765822766301
"school_distance",0.0124496408501466,0.00921230539102297,1.35141425752975,0.176562769155568
