"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.11757047516344,0.080133351635191,51.3839792188998,0
"walk_tr_any",0.042168648235085,0.0263583276295298,1.59982259981633,0.109699534419002
"gender2",0.102500160941534,0.0265557288871475,3.85981350303443,0.000114868369409649
"age",0.00738561943600619,0.00106312501588337,6.94708460967718,4.19392956432227e-12
"emply2",0.0742174514079011,0.0264389013864144,2.80713068683094,0.00501736703492359
"educa2",0.00973513840746312,0.0366937651230681,0.26530769940921,0.790783095809489
"educa3",-0.003672197378469,0.0379684782789327,-0.0967170017057693,0.922954916503176
"educa4",-0.0346369059857822,0.0441683296971067,-0.784202305663625,0.432957627057548
"educa5",0.141913742177494,0.0617573525066798,2.29792464244876,0.0216061337438989
"hhsize",-0.018707306407258,0.00834175084839044,-2.24261150293977,0.0249644251187791
"disabled1",-0.00800877717520281,0.0360072450594209,-0.222421269996811,0.823994811481173
"disabled2",-0.16349201756131,0.0355492324469106,-4.59903087374585,4.34670569783917e-06
"regional_access",0.0101804746916652,0.00600002316097025,1.69673923225639,0.089806648350083
"school_distance",-0.00679631144768784,0.00550990483598808,-1.23347165695087,0.217456367914347
