"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.29477274021245,0.0757190379725246,56.7198534900938,0
"gender2",-0.0575279751458538,0.0278943784310782,-2.0623501358166,0.039227550239106
"age",0.00472593792465251,0.00111390166336658,4.24268863228837,2.24976596421775e-05
"racehisp1",-0.131656106864905,0.0376597451878997,-3.49593727222582,0.000476629682855879
"racehisp2",-0.18536579621663,0.0581075330241049,-3.19004759915956,0.0014315562591063
"racehisp4",0.0237262532857214,0.0437312755712367,0.542546563661792,0.587466967806334
"racehisp97",-0.247730126777192,0.0851483206962872,-2.90939533218527,0.00363774824185775
"educa2",-0.0494973895908893,0.0386557589391578,-1.28046611809629,0.200442486609612
"educa3",-0.11800461491693,0.0419988554090417,-2.80971025918782,0.00497847619197482
"educa4",-0.215044347775228,0.0502337248047101,-4.28087601728202,1.89752266338144e-05
"educa5",-0.277436080507656,0.0699866965723532,-3.96412595672149,7.47252180810516e-05
"own2",0.0361519082877063,0.0309512966952045,1.16802564505504,0.242853834359255
"incom2",-0.0151726477431248,0.0406786880458965,-0.372987637310376,0.709173944839911
"incom3",-0.110169336138909,0.0479341412065738,-2.2983479700644,0.0215843321527192
"child_any1",0.0927817079450299,0.0312463470992982,2.96936175131697,0.00299880328457416
"disabled1",-0.0125145237345594,0.0378370726879684,-0.330747672732591,0.740849376762687
"disabled2",-0.0903101818741091,0.037650336432346,-2.39865537553397,0.0164929289858592
"walk_index",0.0102121868650508,0.00336566941372947,3.03422160934538,0.00242435170445963
