"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.32748374544812,0.0196564362193129,169.282148011082,0
"mvpa_METS_log",-0.0135916800075811,0.00100462415472597,-13.5291192667853,4.08689677060444e-41
"gender2",-0.0641116451112395,0.0048083715810685,-13.3333383309351,5.33078071443563e-40
"age",0.00210680307504061,0.000219393996863745,9.60282918018511,1.10517769833582e-21
"racehisp1",-0.0418902384101987,0.007098185527246,-5.90154177421896,3.79402334655427e-09
"racehisp2",0.0259254510956455,0.0124287029566923,2.08593376042396,0.0370259301950112
"racehisp4",-0.138837725103056,0.00896293252432073,-15.4902120178103,4.07368044148503e-53
"racehisp97",-0.00303662321421034,0.0147556416887043,-0.205794046661822,0.836958635571862
"emply2",-0.0159798445285774,0.00517001796676643,-3.09086827769226,0.00200468673454856
"educa2",0.00517013672987814,0.0129804811850681,0.39830085311672,0.690422323525255
"educa3",-0.000603101473030844,0.0127312748617237,-0.0473716481327455,0.962218570600714
"educa4",-0.0243797745479112,0.0128897173842378,-1.89141265251665,0.0586164494565912
"educa5",-0.0177727223060884,0.0135770299662932,-1.30902873089413,0.190573758478459
"hhsize",0.00285059761119764,0.00179348148771426,1.58942126290394,0.112016962561968
"disabled1",0.0105695224510282,0.00794108323890288,1.33099252747394,0.183241043384357
"disabled2",0.0696497488623373,0.00725766784511005,9.59671210487605,1.17171945847619e-21
"walk_index_chis_adult_bmi",-0.00306817782160948,0.000639861215719138,-4.79506765879092,1.66467245454437e-06
"rail_any",-0.00921997311956751,0.00916730140586636,-1.00574560728062,0.314577714328504
