"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-6.69506290955192,0.790458674470867,-8.46984557925636,2.45718566463149e-17
"mvpa_METS_log",-0.123208205806109,0.0156867612980689,-7.85427938023613,4.02077138187822e-15
"BMI_log",1.59896361617419,0.217815398226301,7.34091175001749,2.12143662551922e-13
"gender2",-0.183140039287373,0.0881229242074475,-2.07823379596719,0.0376878307559861
"age",0.00774674243900964,0.0041825613003553,1.85215275586076,0.064003890702262
"racehisp1",-0.593985353134139,0.123869379358068,-4.79525574611228,1.62467421634335e-06
"racehisp2",-0.198392138957001,0.219995335108885,-0.901801571650635,0.367162284765984
"racehisp4",0.942299121646162,0.146486604940661,6.43266407892976,1.25386559607718e-10
"racehisp97",-0.0483269466119427,0.246980676590126,-0.195670962113944,0.844867713910213
"emply2",0.54612644580599,0.0888919728599384,6.14370936132206,8.06162928379328e-10
"educa2",-0.230307399784935,0.184367419692348,-1.24917623823801,0.211600620945961
"educa3",-0.696523228768584,0.184491377905728,-3.77537008328105,0.000159770279043196
"educa4",-0.957949723320759,0.19204166317458,-4.98823904920002,6.09321440722156e-07
"educa5",-0.956030082957835,0.212852420497435,-4.4915161440194,7.07179392395729e-06
"own2",0.209422611140546,0.101688197983025,2.05945837662996,0.039450348446544
"incom5",-0.106956423595286,0.0899421959444646,-1.18916847061781,0.234373378899887
"child_any1",-0.121784571898242,0.100583496574439,-1.21078085417435,0.225979404818465
"disabled1",1.1092157180958,0.122791442070357,9.03333082007656,1.66524323355073e-19
"disabled2",1.87557329718787,0.105032745599938,17.8570338847639,2.54826149457883e-71
"regional_access",0.0329179880817382,0.0222213113459162,1.48137018420328,0.138507955397018
"park_access",-0.0625793394457023,0.024339596280985,-2.57109192458511,0.0101378413573781
