"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-13.6645133481371,0.669522052537188,-20.4093551457412,1.38094577727809e-92
"mvpa_METS_log",-0.0450494964484962,0.0130626123518137,-3.4487356154484,0.0005632178614696
"BMI_log",3.16853945277738,0.176481127020242,17.9539846910313,4.46675216889772e-72
"gender2",-0.197396556329623,0.065310281994298,-3.02244226026856,0.0025074391307045
"age",0.0510424978262372,0.00359534665324277,14.1968223787824,9.58616073093713e-46
"racehisp1",-0.14839170393179,0.0974913909368136,-1.52210059273814,0.127983877512708
"racehisp2",0.290144861418836,0.160618383419708,1.80642374329386,0.0708521756117473
"racehisp4",0.160537888104879,0.130920900768967,1.22622046718252,0.220115721187924
"racehisp97",-0.0484058470088348,0.200989456498164,-0.240837742696602,0.809680875987416
"emply2",0.142523399819255,0.070046572658795,2.03469483815437,0.0418815879126347
"educa2",0.127864570433819,0.174677219164093,0.732004843251498,0.464165611643115
"educa3",0.0891930794690571,0.170955523758193,0.521732656004819,0.601856484272981
"educa4",-0.104874782572543,0.17411308011032,-0.602337185156298,0.546949713345741
"educa5",-0.12280360029866,0.182833349720624,-0.671669585916947,0.501794067672663
"child_any1",-0.213915572924136,0.0777738115935882,-2.75048333804141,0.00595074178058174
"disabled1",0.288012931778813,0.103784742269391,2.77509897390529,0.00551849108277851
"disabled2",0.36018151561758,0.0899206852366183,4.00554682907269,6.18741736267945e-05
"walk_index",0.0182336803416466,0.00919151823309397,1.98375065786155,0.047283643211556
"transit_access",-0.0374402076933373,0.0144376775329852,-2.59322925088187,0.00950793689953261
"park_access",-0.0249816323062942,0.0183877777703472,-1.35859986009731,0.174273419550568
