"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.361749826929722,0.155363938265568,2.32840278746908,0.0198907257848915
"walk_tr_any",0.337168526204543,0.0525248641139663,6.41921748665487,1.36976601353933e-10
"gender2",-0.0745067296880763,0.0525030741422567,-1.41909270848029,0.155871989443178
"racehisp1",-0.020830597590364,0.0761906414091691,-0.273401000504731,0.7845449837822
"racehisp2",-0.298203702123311,0.132571726360849,-2.249376321099,0.0244885638012397
"racehisp4",-0.402839135909159,0.095630046226622,-4.21247454962554,2.52588182146441e-05
"racehisp97",0.109800425046403,0.160832813075087,0.682699151665903,0.494796965900139
"emply2",0.148663291127257,0.0565900658043556,2.62702099766449,0.00861360186139224
"educa2",-0.0431655779844632,0.138089986657442,-0.312590210407822,0.754592016636113
"educa3",0.117535663299438,0.135897790672992,0.864882811687947,0.387103112540158
"educa4",0.203883267911036,0.137466827104018,1.48314522278719,0.138035831099172
"educa5",0.237338597477198,0.145532659869452,1.63082704384088,0.102926819330425
"own2",-0.234845148479112,0.0594809728839892,-3.94823986717821,7.87279012907544e-05
"hhsize",-0.025885040655346,0.0180975074423268,-1.43030971186704,0.152628148631623
"disabled1",-0.10723238702908,0.0863517780197312,-1.24180867479738,0.214307161337283
"disabled2",-0.444961370463339,0.0771606785156,-5.76668555828444,8.0845688223941e-09
"walk_index_chis_adult_modPA_any",-0.0206170673859029,0.00573319133832429,-3.59608918824762,0.000323037084504652
