"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.94058769158379,0.0455328879680405,108.505915439662,0
"walk_tr_any",0.0516710249017253,0.0310350874972693,1.66492280410912,0.0960098431236286
"gender2",-0.174331730204369,0.0312506848396094,-5.57849311460234,2.59366037029659e-08
"emply2",0.136795056616673,0.0333796296358072,4.09815980911692,4.25062612221159e-05
"own2",-0.0459875481997149,0.0366205295931989,-1.25578599519368,0.209270072659147
"hhsize",-0.0347466568876341,0.0146235670171406,-2.37607259890194,0.0175468586198125
"child_any1",-0.0989718912378402,0.0448485733590604,-2.2068013277806,0.0273869808551643
"disabled1",-0.0398518633838211,0.0523190979557925,-0.761707769073051,0.446281275976734
"disabled2",-0.185086117872204,0.0496537293381184,-3.72753709216594,0.000196149443177611
"walk_index_chis_adult_modPA_min",-0.00463273656577363,0.003195480077602,-1.44977795300486,0.147202220663246
"regional_access",-0.0260647814182336,0.00862096076513524,-3.02341956173196,0.00251589366566695
