"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.44299810010105,0.238730255043307,-1.85564288875194,0.0635044762040919
"mvpa_METS_log",-0.129695064342778,0.0123606091972246,-10.4926110253449,9.34107364727831e-26
"gender2",-0.388943978124735,0.0644595059524791,-6.03392738398387,1.60021995288535e-09
"age",0.0122937653690831,0.0031143492496373,3.94745880556421,7.89851031300672e-05
"racehisp1",-0.37700889641034,0.0888381758680724,-4.24377124728687,2.19794409624131e-05
"racehisp2",0.284383374717674,0.148691060274921,1.91257883420742,0.0558019914396715
"racehisp4",-1.68730751439131,0.159388033249882,-10.5861618340319,3.45467982899194e-26
"racehisp97",-0.0458117384140298,0.184392712522405,-0.248446577889912,0.803788899054039
"emply2",-0.0813897089921871,0.0700436145976548,-1.16198613477769,0.245241097010339
"educa2",0.205117030474199,0.165793652095518,1.23718265374856,0.216019279830474
"educa3",0.0479729333530566,0.163405851830389,0.293581489375615,0.769077722117571
"educa4",-0.28982725971737,0.16781664784785,-1.72704712812605,0.0841591998893543
"educa5",-0.255989206648441,0.177763309006344,-1.44005648904356,0.149851417842387
"own2",0.0788240602221436,0.0779520535462451,1.01118644905719,0.311927200270547
"child_any1",-0.0829639197781054,0.0738541703687716,-1.12334779964146,0.26128981036858
"disabled1",0.169625762756009,0.105314605495865,1.61065753375175,0.107254386375229
"disabled2",0.785311683503367,0.0869342313437686,9.03339997794388,1.66419078778234e-19
"walk_index_chis_adult_obese",-0.0325785687516913,0.0113711223437245,-2.8650266672815,0.00416974125904733
"rail_any",-0.235616376746259,0.129620197909704,-1.81774430641121,0.0691032224742811
"majrd_index",0.0250984296435049,0.0179214437460757,1.40046918089402,0.161372866073679
