"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",2.10785800490931,0.276344816579717,7.62763720701544,2.39095281519843e-14
"walk_tr_any",0.587345251765896,0.0734016114660106,8.00180323068074,1.22610209984068e-15
"age",-0.0110390402200573,0.00331677688245659,-3.32824323470355,0.000873955255551579
"racehisp1",-0.0562152971240651,0.103949369043918,-0.540794981644523,0.588648902187306
"racehisp2",-0.475479337146558,0.167034549044601,-2.84659275500901,0.00441898535234208
"racehisp4",-0.485551900307772,0.125021477317103,-3.88374790258014,0.000102858555890284
"racehisp97",0.0992274211301708,0.227050173958989,0.437028606496879,0.662090602073919
"emply2",0.262827618306797,0.0772354997455994,3.40293801648862,0.000666654025013126
"educa2",0.14670171825104,0.164131956967961,0.893803503967702,0.371427034093199
"educa3",0.344632260371381,0.16138493956186,2.13546729519504,0.0327228588731342
"educa4",0.652252930034216,0.165899651444018,3.93161121410983,8.43784457546979e-05
"educa5",0.72153720838975,0.180312464454956,4.00159362565862,6.29172899222501e-05
"own2",-0.218191994356652,0.0805336611939224,-2.70932664828504,0.00674199266236019
"hhsize",-0.0906787447038724,0.0253093001231818,-3.58282308331459,0.000339900823163471
"disabled1",-0.101724545430257,0.117165476055083,-0.868212624190022,0.385277944507895
"disabled2",-0.795055355493689,0.0929356663458029,-8.55490025256159,1.17970697371816e-17
"walk_index",-0.0174157173238932,0.00927237497301408,-1.87823695380948,0.0603487569552774
"majrd_index",-0.0389654068039299,0.0186779341260669,-2.08617326418075,0.0369629311185721
"school_distance",-0.01880784849931,0.0158912815763597,-1.18353251806255,0.236598166865482
"park_access",0.0240864652521749,0.02070060926692,1.16356310780986,0.244601109436704
