"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",5.43143426407477,0.119629256209292,45.402223805291,0
"walk_tr_any",0.157523521039654,0.0283388064710681,5.55857993527265,2.8488857567474e-08
"gender2",-0.163676027629672,0.0286533116108607,-5.71229007845753,1.17362354945423e-08
"age",-0.00367969171128047,0.00132558361208193,-2.77590314012802,0.00552362694861321
"racehisp1",-0.0252271889971604,0.0419215514106039,-0.601771359797035,0.547351350315957
"racehisp2",-0.0436585928516016,0.0751849875686075,-0.580682317886432,0.561478568502475
"racehisp4",-0.210474649180239,0.0537257322638761,-3.91757618391285,9.05371194635048e-05
"racehisp97",0.137901685550904,0.0853645845380252,1.61544376156925,0.106272459905281
"emply2",0.180740814209169,0.0305230543779585,5.92145241990223,3.38596555208699e-09
"educa2",0.00405848581386187,0.0802627694224032,0.0505649860211409,0.959674015532628
"educa3",0.107553248844907,0.0785572490544058,1.36910660874109,0.171022319908647
"educa4",0.158997477410418,0.0791875403113968,2.00785978179367,0.0447074122537446
"educa5",0.16744180639613,0.0831381979908932,2.01401774927178,0.0440566718045186
"own2",-0.0975959020615036,0.0337112697687137,-2.89505268508394,0.0038059962832599
"hhsize",-0.0300975440975733,0.0139575887507021,-2.15635699225336,0.031099372448434
"child_any1",-0.12503424817213,0.0408396322910906,-3.06159093894209,0.00221235951297288
"disabled1",-0.110886001866084,0.0471544944282471,-2.35154682942925,0.0187309110770038
"disabled2",-0.32535183483978,0.0453792625773637,-7.16961484962679,8.52221808224101e-13
"walk_index",-0.0107508386403588,0.00442800059203918,-2.42792168087941,0.0152177561346116
"transit_access",0.00644173273903383,0.0063339704746617,1.01701338280676,0.309192166670985
"majrd_index",0.00857149876599949,0.00788155748271921,1.08753869838455,0.276846854556106
"regional_access",-0.0173962189104793,0.00854464996417608,-2.03591943302697,0.0418066636472543
"school_distance",0.00847135686796963,0.00665849159140615,1.27226365786859,0.203333685640936
"park_access",0.0107956441943174,0.00825834074345573,1.30724131271434,0.191185866236423
