"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.943299106223344,0.229099017489918,4.11742973216748,3.8312128763278e-05
"walk_tr_any",0.22150702785556,0.0564477099901241,3.92411008160143,8.70509264163369e-05
"gender2",-0.457733405145591,0.0566397876000273,-8.0814816675861,6.39845477077028e-16
"age",-0.0361433789803994,0.00258280961276847,-13.993822386954,1.70022624368783e-44
"racehisp1",-0.105762868347882,0.0823346393452536,-1.28454887504136,0.198949973914479
"racehisp2",-0.121255303107515,0.146176782077486,-0.829511372354874,0.406815104351909
"racehisp4",-0.468670106361255,0.106428857009841,-4.40359992138145,1.06469211049501e-05
"racehisp97",-0.0549709774828386,0.170904558623262,-0.32164722770219,0.747719960997403
"emply2",0.133430422122407,0.0617454620472223,2.16097536075381,0.0306972427647472
"educa2",0.115843698008218,0.164965860446424,0.702228313753686,0.482536790885709
"educa3",0.410282777390448,0.16162013303184,2.53856230467042,0.0111308981538421
"educa4",0.707584145450264,0.162842200530316,4.34521360646029,1.3914019889499e-05
"educa5",0.785224854015586,0.170504814394126,4.60529432442018,4.11882896105621e-06
"own2",-0.0846475646818031,0.0667998405259427,-1.26718213719281,0.205090171372853
"hhsize",-0.0722398706781344,0.0211686335340971,-3.41259016845726,0.000643486350651051
"incom5",0.0734676771402513,0.056921430989096,1.29068570244351,0.196812684414254
"disabled1",0.0215304289613198,0.0924384238456567,0.23291644389425,0.815826289194149
"disabled2",-0.855760721128849,0.104014809304579,-8.2272969286805,1.91485375285515e-16
"walk_index",-0.0206858082475573,0.00721969068718611,-2.86519314245298,0.00416754966873505
"rail_any",-0.14874983870457,0.111650656812216,-1.33227911909869,0.182768486046211
"park_access",0.0240242984889999,0.0161326635807257,1.4891712313212,0.136442284344859
