"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.96403569737943,0.130185902840207,38.1303627280783,8.86632377678518e-241
"walk_tr_any",-0.0207234642713371,0.0430716035352268,-0.481139836235446,0.630468591414892
"gender2",-0.192531915835487,0.0428700842191731,-4.49105522749077,7.48205019763786e-06
"age",-0.00438728549866969,0.00180367651072009,-2.43241261534095,0.0150838765050213
"racehisp1",-0.00217676561500809,0.0607182577111557,-0.0358502647648956,0.971405252214622
"racehisp2",0.21117148539732,0.110447315849888,1.91196575283305,0.0560201908074824
"racehisp4",-0.0256128068612541,0.0802515881461374,-0.319156386221459,0.749640523942211
"racehisp97",0.278968529063703,0.126592169149797,2.20367919230137,0.0276580018343173
"emply2",0.04979220539181,0.0466605669647543,1.06711531022375,0.286045727357114
"hhsize",0.0217247303773647,0.0207089879489416,1.04904838570226,0.294279809073351
"child_any1",-0.187026147534432,0.0611663776827109,-3.05766263460286,0.0022596017395641
"disabled1",-0.111070081916933,0.0696940315633362,-1.59368140177104,0.111161946298495
"disabled2",-0.0805017055350703,0.0883545888308276,-0.911120821230993,0.362339099765794
"walk_index",0.0108267799599235,0.00527895207297637,2.05093355845134,0.0404005935492055
"majrd_index",-0.0176422858451868,0.0118185306744728,-1.49276473794605,0.135653034422697
"school_distance",0.0178298824560789,0.00944799483976953,1.88716047780079,0.0592802581316816
