"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.0971003492448454,0.157767584796411,-0.615464509836716,0.538248000200651
"walk_tr_any",0.508541840025296,0.0543076745543278,9.36408793413839,7.6709934868496e-21
"gender2",0.290812345163478,0.0537467450437121,5.41078989856895,6.27473553526241e-08
"racehisp1",0.0956695887609391,0.0777570976320693,1.23036470848781,0.21856056279005
"racehisp2",-0.229949603645017,0.13531611381049,-1.69935122410522,0.0892530263784845
"racehisp4",-0.325403563052562,0.0973198659646199,-3.34364993033243,0.000826840016647502
"racehisp97",0.115443951282444,0.164998898389681,0.69966498206429,0.484136550313013
"emply2",0.199515175726622,0.0585582542805019,3.40712301242653,0.000656515312807684
"educa2",0.159645628414168,0.138899029371066,1.1493646077805,0.250405667498142
"educa3",0.333839632076154,0.1368696873016,2.43910568262292,0.0147236616094893
"educa4",0.509284683958824,0.139005865156252,3.66376399575913,0.000248535801297206
"educa5",0.526393412753942,0.147940674973136,3.55813850957168,0.000373492358761049
"own2",-0.0699205255606027,0.0615317747911209,-1.1363320137922,0.25581763731025
"hhsize",-0.0360730165715466,0.0185232094329922,-1.94744958761282,0.0514808580181502
"incom5",0.0763073663507729,0.0542629406924629,1.40625195348788,0.159649321769614
"disabled1",-0.17607784685013,0.088247238148199,-1.99527883869217,0.0460124765551485
"disabled2",-0.669639207027892,0.0781782407248772,-8.56554459167825,1.07566226763864e-17
"walk_index",-0.0117006879952588,0.00674710308926545,-1.73417951978152,0.0828862356198365
"majrd_index",-0.0149584411904899,0.0145355456866996,-1.02909388563081,0.303435559099889
