"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.09470882854798,0.106353805730707,38.5008209195257,4.96626952237069e-277
"walk_tr_any",0.174968707859606,0.029007512725988,6.03184111345234,1.76443261549351e-09
"gender2",0.0991262322613303,0.0296632687436921,3.34171642099995,0.000840091816533173
"age",0.00616563929048742,0.00131263725451413,4.6971387329469,2.7248596378919e-06
"racehisp1",-0.0358343855382111,0.0428179531779745,-0.83690094641526,0.402697119956089
"racehisp2",-0.0343183483283803,0.0778221300841491,-0.440984438375971,0.659247559791872
"racehisp4",-0.15078020249176,0.056522462531728,-2.66761559454565,0.00766925844420903
"racehisp97",0.030779503659721,0.0872893565757581,0.352614624132411,0.724395532984762
"emply2",0.178708427130263,0.0311341841632573,5.73994250798978,1.01568258626187e-08
"educa2",-0.105503383855038,0.086833316591966,-1.21501041300545,0.224432221286695
"educa3",-0.000404477299655914,0.0849205866223775,-0.00476300642451438,0.996199917255987
"educa4",0.0341627418542123,0.0853058690568993,0.400473522301562,0.688828687869057
"educa5",0.0181475395716694,0.0888568701790637,0.204233387188842,0.838181278544466
"child_any1",-0.12714818831734,0.0324698551364742,-3.91588406486333,9.15409731098925e-05
"disabled1",-0.0780607924717488,0.0492426796902702,-1.58522633136013,0.112992190296037
"disabled2",-0.171710593601971,0.0483348001427854,-3.55252515981699,0.000385855346160879
"walk_index",-0.00581410038057635,0.00358787228453053,-1.62048699605179,0.105204756622281
"rail_any",0.0864771390297657,0.0572528035572615,1.51044374522682,0.131007445408292
"majrd_index",0.0100411232508874,0.00812712822841139,1.2355069304536,0.216712824877519
