"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.068251680917444,0.179341440884924,0.380568376057814,0.70352355077619
"gender2",-0.227081428228585,0.0522701623483819,-4.34437962360021,1.39669805022761e-05
"age",-0.0103635398657646,0.0021875563180539,-4.73749625563207,2.16374853593676e-06
"emply2",0.0834229379102243,0.0564440621661577,1.47797544522305,0.139414350722663
"educa2",0.222089699628367,0.140924347073057,1.57594982159636,0.115037367768481
"educa3",0.39058271255354,0.13728257960471,2.8451003301233,0.00443974363954916
"educa4",0.345774915813015,0.137649073853336,2.51200321319587,0.0120047995617775
"educa5",0.612399377441141,0.144976209746081,4.22413703954413,2.39858072746031e-05
"own2",0.164121828426676,0.0610122016473219,2.68998370810111,0.00714555074147091
"incom5",0.086181396831975,0.0524614920313936,1.64275535244791,0.100433561207669
"disabled1",0.00479761458647693,0.0861918172192063,0.0556620656259683,0.95561101987195
"disabled2",-0.410303699884021,0.0813728077422543,-5.042270400496,4.60040581134983e-07
"walk_index",0.0412245625673865,0.00825152505823344,4.99599313780818,5.85337418832504e-07
"transit_access",0.0263596167550966,0.0116997967918265,2.25299782757864,0.0242592859433368
"rail_any",0.244322259455926,0.10116690441939,2.41504137008169,0.0157334225715484
"regional_access",0.0412468618417147,0.0154561436461223,2.66863861944392,0.00761593443649858
"school_distance",-0.0198871105832988,0.0118474423796721,-1.67859947708387,0.0932301285552311
