"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.94655528692683,0.0872311621936206,45.2424934814803,0
"gender2",-0.124053821996431,0.0371501469079375,-3.33925522027817,0.000850633536425131
"age",0.00849305225750839,0.00149044263866047,5.69834224894525,1.33108535178908e-08
"racehisp1",-0.0805160889295162,0.0523754600908306,-1.53728652292283,0.124332065395235
"racehisp2",-0.11294542568541,0.0948987609239634,-1.19016754893044,0.23407779724861
"racehisp4",0.114315973197115,0.0663539288879619,1.72282146834344,0.0850272390748243
"racehisp97",0.10006889996611,0.106698623655657,0.93786495586913,0.348391779859344
"emply2",0.14491681709196,0.0405769594549629,3.57140650848436,0.000360831667836619
"incom5",-0.0795525951823514,0.037291053945147,-2.13328900007408,0.0329845967399097
"disabled1",0.124092043536692,0.0613743345936242,2.02188821041138,0.0432794007122581
"disabled2",-0.13041700656679,0.0629099390369439,-2.07307475675985,0.0382532878516892
"school_distance",-0.0171262328231127,0.00802726733836947,-2.13350721997898,0.0329666944213052
"park_access",-0.0195426062382088,0.0108574335481963,-1.79992869875361,0.0719756123390811
