"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",74.3328588775231,2.82982279044906,26.2676727067165,3.30598272213729e-133
"pa60_daysperweek",-0.381361736645643,0.307150075998967,-1.24161368153764,0.214505843675442
"gender2",-4.26459555623622,1.39962287181302,-3.04696046493726,0.00233797809275748
"racehisp1",-10.1481856084835,1.87286727653044,-5.41852897728204,6.63616418035122e-08
"racehisp2",2.26020397807786,3.66875026520948,0.616069182879856,0.537909876437135
"racehisp4",-13.4299824130242,2.43114671048628,-5.52413490929878,3.68481452417283e-08
"racehisp97",-4.06063106589033,3.17110019986131,-1.28051174985512,0.200494444421465
"educa2",1.58867274626397,2.98987036442697,0.53135171516657,0.595226428777674
"educa3",-0.97399822452826,2.89485648319841,-0.336458207921979,0.736556082110867
"educa4",-6.08248802699339,2.92659668706535,-2.07834856571666,0.037787998900789
"educa5",-7.60332645070356,3.07155644066,-2.47539857970827,0.013380363575915
"own2",2.72114209250409,1.74884229306019,1.55596768405145,0.119853477616631
"disabled1",6.12008883579295,3.00845224108875,2.034298152454,0.042036158019288
"walk_index",-0.335317240951362,0.228482466262074,-1.46758412773235,0.142354068811149
"transit_access",0.538451468679234,0.323715790644267,1.66334631871864,0.0963794885010549
"regional_access",-0.481219179605931,0.402374464950273,-1.19594860390905,0.231840002455664
