"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-1.03886264893497,0.784015054585393,-1.32505446529256,0.185153087264429
"pa60_daysperweek",-0.149188968133242,0.0526286673017637,-2.83474721633779,0.00458619586721991
"BMIPCT",0.0024864255260266,0.00362572998628965,0.685772392160689,0.49285664827697
"age",0.0820901101598477,0.0624553696463668,1.31438034270962,0.188718242214278
"racehisp1",-1.39530935494607,0.413125476047192,-3.37744689167192,0.000731620795485428
"racehisp2",-0.143821677588558,0.522131744523313,-0.275450935701797,0.78296981589613
"racehisp4",0.953422953738261,0.327614508369724,2.91019759314899,0.00361200321218345
"racehisp97",0.00967179212399663,0.514824597525378,0.0187865773517549,0.985011361656291
"educa2",-1.05645561098088,0.342895176417517,-3.08098708771136,0.00206315595642163
"educa3",-1.45818442165526,0.380452424022646,-3.83276417649651,0.000126711409875288
"educa4",-1.66333989196174,0.424826661624477,-3.9153378123712,9.02777156401252e-05
"educa5",-1.99239888524825,0.542971628738476,-3.66943460725071,0.000243087508350331
"own2",0.287981062453125,0.283222686813885,1.0168008279731,0.309248188175335
"incom2",-1.67052445989223,0.415359884887257,-4.0218724067339,5.77373331465649e-05
"incom3",-1.48707316710257,0.487362106529378,-3.05126957385418,0.00227875882074357
"incom4",-1.89874367282658,0.532846300305585,-3.56339843541685,0.000366084375326748
"incom5",-1.82855559311966,0.633939082115441,-2.88443423777851,0.00392117646366023
"incom6",-1.66609293834723,0.566865855063502,-2.93913087808154,0.00329134057636064
"incom7",-1.82326089446506,0.608581763125384,-2.99591773026795,0.00273620243965177
"disabled1",2.26211295840521,0.315174036601772,7.17734551613281,7.10778994379493e-13
