"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.15640131377692,0.444591548450638,2.60104205265908,0.0092941060279377
"pa60_daysperweek",-0.021900239570478,0.0236719613712827,-0.925155259717767,0.354885152142013
"gender2",-0.277593498246083,0.108882930768376,-2.54946754543742,0.0107887552321822
"age",-0.112509110465697,0.0267813089677267,-4.20103104748457,2.65702146421279e-05
"racehisp1",-0.710945650385317,0.139823939626359,-5.08457744993544,3.68445400935031e-07
"racehisp2",0.0640275452092578,0.247313159363233,0.258892593399041,0.795718113026962
"racehisp4",-0.582312821494145,0.186595143191809,-3.12072871529973,0.00180404144241794
"racehisp97",-0.600651861481373,0.249612486478301,-2.40633739904509,0.0161133752908913
"educa2",-0.2541484020774,0.197455552989806,-1.28711701559753,0.198053505516222
"educa3",-0.412559718346263,0.197030631106527,-2.09388619439182,0.0362701193741459
"educa4",-0.564173248025127,0.214189214025195,-2.63399466958576,0.00843868127236105
"educa5",-0.868652782006396,0.242226662106316,-3.58611547735044,0.000335640375510584
"hhsize",0.0723520949698196,0.0441370668796481,1.63925924591019,0.101159279739193
"incom2",-0.532946263382381,0.309413520491048,-1.72244012652253,0.0849898200611543
"incom3",-0.40187136668057,0.32845525536598,-1.22351936866648,0.221133593204314
"incom4",-0.705482378267724,0.326201947471314,-2.16271663531305,0.03056298082297
"incom5",-1.02908706352452,0.343387712973146,-2.99686629615953,0.00272770319194702
"incom6",-1.05676856261591,0.330498758232594,-3.19749631819249,0.00138626181008116
"incom7",-0.979695974498424,0.336312065086116,-2.91305628374517,0.00357910085031111
"disabled1",0.496154639636059,0.207069807944179,2.39607427351171,0.0165717319141293
"walk_index",-0.0313323341712594,0.0178070257802318,-1.75954898689722,0.0784843074304093
"transit_access",0.0499899577606331,0.0251798193269353,1.98531836593275,0.0471090619460225
"majrd_index",0.0311580345585304,0.0305323425081843,1.02049276272131,0.307494819903913
"regional_access",-0.0581323966530613,0.0310443723919995,-1.87255828267421,0.0611294065957742
