"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.30432882918203,0.377479562662782,3.45536277508947,0.00054955285377652
"pa60_daysperweek",-0.0411891883695256,0.0202212553180202,-2.03692538973186,0.0416575193546967
"gender2",-0.40180228511659,0.091482419593723,-4.39212568820337,1.12247773468168e-05
"age",-0.0426943190995755,0.0226403078895187,-1.88576583445408,0.0593265168455874
"racehisp1",-0.635868362776147,0.119836781945904,-5.30612014484157,1.11983162818995e-07
"racehisp2",-0.0660285987574514,0.227403301445769,-0.290359015624045,0.771541594490977
"racehisp4",-0.852046259304168,0.161175216909058,-5.28645951681843,1.2470639852927e-07
"racehisp97",-0.190483402872897,0.198643181666439,-0.958922432045797,0.337597823190643
"educa2",0.0576435503657661,0.189498780162514,0.30418955898466,0.760983478904985
"educa3",-0.037623489751371,0.186202168229585,-0.20205720539721,0.839872002915617
"educa4",-0.317400112756569,0.195175138607308,-1.626232290759,0.103900249371654
"educa5",-0.479252711930121,0.21026555708827,-2.27927349855463,0.0226508123766763
"incom2",-0.254577596593966,0.306810739613987,-0.829754515484895,0.406677592031215
"incom3",-0.237429394381463,0.323995476173246,-0.732817004687143,0.463670048446563
"incom4",-0.586960275858002,0.317493727233918,-1.84873030712053,0.0644967651538306
"incom5",-0.690811443196658,0.325562917965523,-2.12189842600506,0.0338462686625902
"incom6",-0.539725198652757,0.315186546078856,-1.71239922949542,0.0868231209699568
"incom7",-0.741917541893499,0.319843137581118,-2.31962938928254,0.0203609345896845
"disabled1",0.353387280506692,0.189135466953123,1.86843475842783,0.0617014959982921
"walk_index",-0.0224987913751429,0.014887681741907,-1.51123538003984,0.130728491229899
"transit_access",0.0486130836622254,0.021079796450473,2.30614578164651,0.0211024879200159
"regional_access",-0.034585475358274,0.0263239213727318,-1.31384207043332,0.188899356645179
