"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.58197108426737,0.0503731095353888,31.4050710559367,1.72523623037806e-216
"gender2",-0.133538213699685,0.0187936082394307,-7.10551225706139,1.19877065369025e-12
"age",-0.0455245631716299,0.0045621979290438,-9.97864710818707,1.89026464759576e-23
"racehisp1",0.205002776626874,0.0254386105591423,8.05872538322257,7.70940728806861e-16
"racehisp2",0.193156723462058,0.0470561712269187,4.10481172661923,4.0464429523737e-05
"racehisp4",-0.23827128225096,0.0347979142239889,-6.8472863263368,7.52639854602806e-12
"racehisp97",0.0879205662776571,0.0444193704820183,1.97932940794937,0.0477789306612975
"educa2",0.0942581785253216,0.0360226998909619,2.61663281238315,0.00888018104075108
"educa3",0.152506341382767,0.0353314305116032,4.31644966463168,1.58558816743822e-05
"educa4",0.118679405764874,0.0355756227359788,3.33597549776269,0.000850006550277514
"educa5",0.168751267208356,0.0374571876096544,4.50517718967403,6.63175824851951e-06
"disabled1",-0.256510265702414,0.0447614696159197,-5.7306041982854,1.00073530825561e-08
"walk_index",-0.00784574695106153,0.0028383434504874,-2.76419929015788,0.00570626760901385
"transit_access",-0.00737142848536094,0.0042501095167289,-1.73440906789488,0.0828455272810866
"school_distance",-0.00414025264426256,0.00410811416341363,-1.00782317130696,0.313539359948261
