"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-0.505757021567818,0.284091583189902,-1.78026049166597,0.0750333396720536
"gender2",-0.174289892664675,0.0798232666516428,-2.18344725761845,0.0290028890148549
"age",0.0594765260955,0.019999300588952,2.97393030476055,0.00294011846640431
"racehisp1",-0.264886953855098,0.1088709738878,-2.43303558695163,0.0149728292186977
"racehisp2",-0.0804285231515951,0.201931364729069,-0.398296338260805,0.690411759320846
"racehisp4",-0.374440118393353,0.13033854654469,-2.87282717446114,0.0040681659814818
"racehisp97",-0.20645129563265,0.192626355881064,-1.07177075893042,0.283823009964285
"emply2",0.197012418530285,0.0877326795237493,2.24559901281658,0.0247297037799962
"educa2",-0.402608683253475,0.137843559737827,-2.92076527927181,0.00349172786328752
"educa3",-0.463288092448971,0.140356607598842,-3.30079289015813,0.000964120239709172
"educa4",-0.656477063177052,0.147582884001969,-4.44819240128342,8.65959465394128e-06
"educa5",-0.47137148949383,0.160605200425845,-2.93497027645424,0.00333579640431777
"own2",0.216280141360359,0.0932217125504098,2.32006187660846,0.0203375302883572
"hhsize",0.0754862427097184,0.0337624655752126,2.23580361871256,0.0253646378033892
"disabled1",-0.678540769619069,0.185896171605233,-3.6501062058449,0.000262131901126943
"walk_index",0.0746206530406633,0.0135927904911808,5.4897228857517,4.02564830321472e-08
"transit_access",0.0266634216935068,0.0177266885078871,1.50414002489204,0.132545316424489
"school_distance",-0.0669988887121834,0.0171791696216406,-3.90000740360494,9.61897465444127e-05
"park_access",0.0421086241086762,0.0253947471144784,1.65816276566379,0.0972846179650324
