"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.84670814771176,0.0211552437620669,181.832371726636,0
"mvpa_METS_log",-0.00875088366698394,0.000618527564582025,-14.1479283512569,4.64168519094478e-45
"gender2",-0.0480652200588642,0.00342513522935417,-14.0330868244075,2.29510320033824e-44
"age",-0.00633260270496629,0.000240414855646301,-26.3403136546721,1.81778384570911e-148
"racehisp1",-0.0455311087356544,0.00663765036718484,-6.85952200205522,7.26832528092461e-12
"racehisp2",0.0188265354220333,0.00976679471385794,1.9276063410364,0.0539290331706167
"racehisp4",-0.127555144586084,0.0082348501342146,-15.4896740690047,1.43727371820487e-53
"racehisp97",-0.0269850087013035,0.0127203723300876,-2.12140085219642,0.0339096953989856
"emply2",0.00469409060089093,0.0045345220823073,1.03518971033491,0.300602378108222
"educa2",-0.0231732145748946,0.00657967772424747,-3.52193763069831,0.000430087371700918
"educa3",-0.0333866833964561,0.00656143842882235,-5.08831771548733,3.67030910061023e-07
"educa4",-0.0442210292676333,0.00696903234663616,-6.34536146025755,2.30354713458993e-10
"educa5",-0.0406375660711153,0.00737886261739917,-5.50729403408229,3.72326841018041e-08
"hhsize",0.00820451928927113,0.00196045308403901,4.1850117996029,2.87299596741676e-05
"incom2",-0.000794170126276328,0.00791097818008739,-0.100388360098796,0.920037783463099
"incom3",-0.000841212151620567,0.00876953537124618,-0.0959243695371546,0.923582333244612
"incom4",-5.33547222625114e-05,0.00863416750408229,-0.00617948658481376,0.995069623042179
"incom5",-0.0138069377128354,0.00951022141383586,-1.45179981748359,0.146584914722285
"incom6",-0.0113884314786336,0.00959599072318889,-1.18679058860627,0.235335071582034
"incom7",-0.0220447537865637,0.0103408600140606,-2.13181048351774,0.0330438428570733
"disabled1",0.010468245733691,0.00464292593985128,2.25466567188585,0.0241733019962916
"disabled2",0.0605922569223438,0.00383778526791526,15.7883395480483,1.45802200498317e-55
"rail_any",-0.00798161243466014,0.00643961940674961,-1.23945406250163,0.21520301827368
"majrd_index",0.00126481457340555,0.00092398460925645,1.36886974169772,0.171067085213054
"regional_access",-0.0032587064931057,0.000848137824707388,-3.84218979295019,0.000122605654569394
