"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.0816115626227513,0.646776987233577,0.126181920868619,0.899587922028662
"mvpa_METS_log",-0.126022868228967,0.00898639848766034,-14.0237346921589,1.11584552835191e-44
"BMI_log",0.0679334773261093,0.142573962835781,0.476478846311905,0.633733274270183
"gender2",-0.438020100451634,0.0554430337356499,-7.90036314643416,2.78092020533107e-15
"age",-0.0126574393632523,0.00388168089058896,-3.2608139927061,0.00111092890650381
"racehisp1",-0.467009363420045,0.0965616799155489,-4.83638399651377,1.32222377901947e-06
"racehisp2",0.185477358552552,0.138391917593469,1.34023259289894,0.180169738409444
"racehisp4",0.783773116056279,0.115817448420157,6.76731465549942,1.31194551978922e-11
"racehisp97",-0.47564893284158,0.18892320170026,-2.51768405659476,0.0118129231378664
"emply2",0.645883285484476,0.0880956974051292,7.33160988004019,2.27404261340002e-13
"educa2",-0.565485438605753,0.0906484025778094,-6.23822839150816,4.42554203744299e-10
"educa3",-0.790510369620622,0.0921196580938221,-8.581342853178,9.3771929300749e-18
"educa4",-0.842930429416478,0.100963378116227,-8.34887307797994,6.89173468665371e-17
"educa5",-0.995707476112789,0.112412997011602,-8.85758322064861,8.17677671274708e-19
"own2",0.340775697286284,0.0640661426034101,5.31912307247519,1.04268588249999e-07
"hhsize",0.0754642089921535,0.0288945844594395,2.61170770938359,0.00900912423260834
"incom2",-0.320308607421659,0.108003821566155,-2.96571549762674,0.00301979699571264
"incom3",-0.549631325332954,0.125545351866256,-4.37795041522906,1.19800596310912e-05
"incom4",-0.752569099115751,0.126532386025204,-5.94764014776299,2.72035824300475e-09
"incom5",-0.697050610092904,0.146500901176811,-4.75799537404647,1.95524978517399e-06
"incom6",-0.869572437976243,0.153605642883603,-5.66107091934879,1.50431237644348e-08
"incom7",-0.809090319553386,0.170370635454266,-4.74900100827868,2.04423923551185e-06
"disabled1",0.787197870970796,0.0780659973182827,10.0837483413081,6.51907021625498e-24
"disabled2",1.76336326306823,0.0634644620942376,27.7850501663408,6.57568540986662e-170
"walk_index_chis_senior_gh",0.0300204759602165,0.0169653344348867,1.76951866616221,0.076807358546829
"transit_access",0.0202475137300244,0.0112252822323932,1.80374206285837,0.0712717522025823
"school_distance",0.0200117910030069,0.011672378587654,1.71445698515756,0.0864448305403582
"park_access",-0.0166723919159184,0.015140238361677,-1.10119745261869,0.270810730161088
